21-Jun-2022 15:19:58:602, INFO, JPPF client starting with sslEnabled = false
21-Jun-2022 15:19:58:612, INFO, start of runPopulationGenerator: parsing xml file
21-Jun-2022 15:19:58:668, INFO, connection [driver1] created
21-Jun-2022 15:19:58:778, INFO, running 1 processing thread
21-Jun-2022 15:19:58:779, INFO, Using default thread manager
21-Jun-2022 15:19:59:233, INFO, creating the controls arrays.
21-Jun-2022 15:19:59:705, INFO, balancing household weights over initial PUMA controls ...
21-Jun-2022 15:19:59:705, INFO, getting incidence table data for pums ...
21-Jun-2022 15:19:59:755, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
21-Jun-2022 15:19:59:918, INFO, getting MAZ Level Control: Total Number of persons not in GQs count incidence table.
21-Jun-2022 15:20:00:082, INFO, getting TAZ Level Control: Number of Households by Persons per Households simple incidence table.
21-Jun-2022 15:20:00:202, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
21-Jun-2022 15:20:00:293, INFO, getting TAZ Level Control: Number of Households by number of workers simple incidence table.
21-Jun-2022 15:20:00:393, INFO, getting TAZ Control: Number of Households by presence of children simple incidence table.
21-Jun-2022 15:20:00:487, INFO, getting TAZ Control: Number of persons by gender count incidence table.
21-Jun-2022 15:20:00:602, INFO, getting TAZ Control: Number of persons by age group count incidence table.
21-Jun-2022 15:20:00:722, INFO, getting Regional META Control: Total Regional Population count incidence table.
21-Jun-2022 15:20:00:835, INFO, combining final incidence tables.
21-Jun-2022 15:20:00:835, INFO, balancing incidence table 0 has 2957 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:00:842, INFO, balancing incidence table 1 has 2957 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 2 has 2957 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 3 has 2957 rows and 5 columns.  Input table columns [ 0 1 2 3 4 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 4 has 2957 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 5 has 2957 rows and 2 columns.  Input table columns [ 0 1 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 6 has 2957 rows and 2 columns.  Input table columns [ 0 1 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 7 has 2957 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:00:844, INFO, balancing incidence table 8 has 2957 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:00:852, INFO, balancing incidence table total households control index = 0.
21-Jun-2022 15:20:00:885, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
21-Jun-2022 15:20:00:993, INFO, getting MAZ Level Control: Total Number of persons not in GQs count incidence table.
21-Jun-2022 15:20:01:128, INFO, getting TAZ Level Control: Number of Households by Persons per Households simple incidence table.
21-Jun-2022 15:20:01:245, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
21-Jun-2022 15:20:01:352, INFO, getting TAZ Level Control: Number of Households by number of workers simple incidence table.
21-Jun-2022 15:20:01:469, INFO, getting TAZ Control: Number of Households by presence of children simple incidence table.
21-Jun-2022 15:20:01:569, INFO, getting TAZ Control: Number of persons by gender count incidence table.
21-Jun-2022 15:20:01:707, INFO, getting TAZ Control: Number of persons by age group count incidence table.
21-Jun-2022 15:20:01:826, INFO, getting Regional META Control: Total Regional Population count incidence table.
21-Jun-2022 15:20:01:937, INFO, combining final incidence tables.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 0 has 3691 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 1 has 3691 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 2 has 3691 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 3 has 3691 rows and 5 columns.  Input table columns [ 0 1 2 3 4 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 4 has 3691 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 5 has 3691 rows and 2 columns.  Input table columns [ 0 1 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 6 has 3691 rows and 2 columns.  Input table columns [ 0 1 ] were added to final incidence.
21-Jun-2022 15:20:01:937, INFO, balancing incidence table 7 has 3691 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
21-Jun-2022 15:20:01:952, INFO, balancing incidence table 8 has 3691 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
21-Jun-2022 15:20:01:952, INFO, balancing incidence table total households control index = 0.
21-Jun-2022 15:20:01:985, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
21-Jun-2022 15:20:02:085, INFO, getting MAZ Level Control: Total Number of persons not in GQs count incidence table.
21-Jun-2022 15:20:02:200, INFO, getting TAZ Level Control: Number of Households by Persons per Households simple incidence table.
21-Jun-2022 15:20:02:292, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
21-Jun-2022 15:20:02:385, INFO, getting TAZ Level Control: Number of Households by number of workers simple incidence table.
21-Jun-2022 15:20:02:473, INFO, getting TAZ Control: Number of Households by presence of children simple incidence table.
21-Jun-2022 15:20:02:583, INFO, getting TAZ Control: Number of persons by gender count incidence table.
21-Jun-2022 15:20:02:687, INFO, getting TAZ Control: Number of persons by age group count incidence table.
