GEOID10,HH_1,HH_2,HH_3,HH_4PLUS,HH_INCOM_LT25K,HH_INCOM_25K_50K,HH_INCOM_50K_75K,HH_INCOM_75K_100K,HH_INCOM_GT100K,HH_NO_WORK,HH_1_WORK,HH_2_WORK,HH_3PLUS_WORK,HH_CHILD_NEW,HH_NO_CHILD_NEW,POP_AGE_0TO17,POP_AGE_18TO34,POP_AGE_35TO64,POP_AGE_65PLUS,FEMALE,MALE
47065010104,258,738,206,281,249,396,185,275,378,525,472,418,68,480,1003,868,460,1805,737,1900,1970
47065010201,304,731,186,263,164,237,336,167,580,526,436,426,96,382,1102,841,549,1550,884,1931,1893
47065010202,308,818,279,287,258,536,336,259,303,627,495,458,112,452,1240,831,574,2043,950,2187,2211
47065010303,254,527,146,268,146,266,223,220,340,257,491,394,53,433,762,751,551,1414,380,1483,1613
47065010304,434,867,267,372,176,411,527,348,478,572,578,681,109,485,1455,1036,831,2316,751,2311,2623
47065010305,209,588,204,271,82,332,248,143,467,313,497,376,86,354,918,611,533,1663,672,1744,1735
47065010306,643,448,260,294,488,493,126,231,307,606,584,365,90,449,1196,770,820,1537,714,1944,1897
47065010307,849,988,355,274,746,601,407,326,386,867,951,581,67,647,1819,1218,861,2300,1074,2868,2585
47065010434,314,257,146,182,186,144,180,105,284,316,299,220,64,269,630,538,282,1050,422,1223,1069
47065010435,1013,954,188,414,678,671,475,259,486,1121,862,444,142,584,1985,1290,1097,2290,1287,3009,2955
47065010901,606,395,37,56,174,313,298,112,197,231,561,288,14,96,998,180,758,649,242,865,964
47065010902,112,215,27,81,112,101,85,34,103,146,159,124,6,99,336,191,281,416,189,603,474
47065010903,1440,1010,305,225,399,1038,674,176,693,969,1110,800,101,403,2577,770,1784,1634,1546,3027,2708
47065011001,220,263,105,153,175,147,160,102,157,306,226,184,25,196,545,357,264,828,413,913,949
47065011002,410,938,487,872,135,422,293,368,1489,534,1107,908,158,1253,1454,2377,937,3613,991,4071,3847
