ID LINKS XCOORD_P YCOORD_P
11058 1 2279173 354108
3865 3 2282954 349070
11161 1 2284269 346991
2160 2 2179533 289314
2158 3 2179805 290021
2342 3 2179061 287916
2674 3 2179472 289422
2672 2 2179730 290083
3059 3 2182439 289626
3058 3 2182601 290067
3174 4 2193520 289123
3175 4 2193831 290355
3649 4 2167051 289535
3650 3 2167405 290259
3734 3 2195169 289805
3172 3 2195117 289903
3785 3 2254229 290249
3786 3 2254330 290604
3414 3 2234403 288705
3867 3 2233685 291370
4016 2 2199147 289385
3170 3 2199635 289975
4180 2 2230074 289907
2523 3 2230131 290228
32856 3 2205501 294243
32857 1 2206076 294562
32853 4 2197490 292098
14485 1 2197393 292250
33128 3 2204834 294190
12142 4 2196730 292453
4711 3 2164353 289659
4712 3 2165319 290073
4713 3 2164353 289998
6256 3 2164126 289629
6253 3 2164093 290051
6255 3 2166678 289850
6257 4 2167431 289523
6248 3 2167776 290217
6260 3 2161138 289558
6261 1 2161571 289663
6262 3 2165963 289470
6264 3 2165374 289415
6265 3 2160401 289404
6289 3 2168162 288349
6292 3 2169350 290108
6314 3 2168439 287670
6317 2 2170111 289818
6528 1 2183231 289752
6529 3 2182167 289620
6530 1 2181448 290325
6531 1 2181561 289889
6532 3 2185206 289555
6523 3 2185589 289991
6533 1 2184794 289898
6538 3 2184075 289237
6525 3 2184438 289979
6540 3 2185341 289188
6526 3 2186035 289925
6527 4 2183762 289930
6550 3 2179916 288297
6499 3 2180984 291158
7414 3 2210067 289899
7415 1 2210086 290165
7405 3 2209539 290066
7428 3 2189827 289848
7426 4 2190575 289872
7409 3 2189816 290150
7429 3 2209178 289626
7389 3 2208304 290412
7430 1 2187579 289827
7424 3 2187738 290087
7427 3 2189002 289871
7391 3 2189466 290551
7431 3 2194694 289685
7432 1 2194479 290087
7433 3 2190870 289576
7425 3 2190916 289871
7434 3 2190583 289573
7436 1 2187771 289672
7410 3 2188267 290153
7437 3 2188975 289448
7442 3 2207265 289097
7393 3 2207264 290353
3690 4 2197987 288914
7379 3 2198825 290784
8847 3 2228934 289984
8838 2 2228938 290527
8849 3 2223103 289915
8845 3 2223318 290208
8850 3 2222015 289847
8851 3 2221967 290538
8854 3 2217795 289814
8855 1 2217954 290165
8856 4 2222452 289731
8857 3 2232496 289561
8858 1 2233032 290192
8864 3 2218976 289526
8842 4 2219187 290354
8869 3 2225617 289296
8870 1 2225546 290966
8886 3 2220756 288828
8947 3 2226805 287214
8841 3 2226672 290441
9775 3 2244630 290095
9776 1 2244808 290614
9777 3 2243999 290097
9769 3 2246070 292468
