parcelid xcoord_p ycoord_p sqft_p taz_p block_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp
1 2137218.806 212290 114952309 149 6 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2261055.971 393247 427090 346 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 2175349.218 271325 127710 309 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 2187845.818 253569 208075 327 9 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 2188222.258 253180 187271 328 8 1 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0
13 2186629.528 252411 188038 327 1 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 2187038.719 251844 201959 327 2 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0
15 2187315.995 251203 299667 331 8 8 0 0 0 0 0 0 3 0 0 5 0 0 8 0 0 0 0
16 2188129.519 252820 135043 328 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 2187716.204 251985 199664 328 0 8 0 0 0 0 0 0 4 6 0 5 0 0 15 0 0 0 0
18 2188653.62 251636 628833 328 3 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 2169360.962 263809 3992900 306 4 3 0 0 0 0 0 0 452 0 31 15 0 7 505 0 0 0 0
20 2167590.608 259001 2863978 250 6 0 0 0 0 0 0 0 0 0 0 0 20 0 20 0 0 0 0
21 2172921.298 267710 351577 240 1 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 2172993.728 268112 158293 240 9 57 0 0 0 0 5 0 0 15 2 0 6 0 28 0 0 0 0
23 2174818.457 278529 1369713 382 1 70 0 0 0 0 20 0 0 0 0 0 0 0 20 0 0 0 0
24 2268114.594 340707 1979247 366 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 2273960.112 250054 22454989 117 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 2226735.601 285495 317177 364 2 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 2247457.434 281540 4119118 818 9 13 0 0 0 0 0 0 0 0 0 0 3 2 5 0 0 0 0
28 2243132.032 270395 25947454 825 7 330 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0
29 2253985.834 266825 322519 852 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 2253977.964 265174 3990183 137 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 2257927.741 265067 267849 130 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 2174020.553 258612 88678 260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33 2173997.117 257632 130050 257 1 0 0 0 0 0 0 0 0 10 44 0 2 0 56 0 0 0 0
34 2174986.807 258206 200685 259 6 0 0 0 0 0 278 0 0 0 1 0 21 0 300 0 0 0 0
