ID mode xcoord_p ycoord_p
12 1 2175160 261861
17 1 2175241 259515
18 1 2175353 258830
19 1 2175569 258326
21 1 2175874 256653
22 1 2175635 256004
23 1 2175512 255329
24 1 2175453 254976
25 1 2175400 254619
26 1 2174934 253415
27 1 2174805 253129
28 1 2174676 252827
38 1 2171376 249606
41 1 2170511 248370
43 1 2169979 247493
44 1 2170110 247575
72 1 2173415 239719
74 1 2174293 239694
75 1 2174639 239542
81 1 2176719 239885
90 1 2176694 240231
95 1 2172346 239391
100 1 2173904 242960
101 1 2174083 243382
102 1 2174416 244141
103 1 2174698 244790
104 1 2174939 245341
105 1 2174712 245512
106 1 2174358 245675
107 1 2174016 245827
108 1 2173796 245925
109 1 2173279 246157
110 1 2172838 246346
111 1 2172933 246774
112 1 2172544 247046
113 1 2172133 247229
114 1 2171873 246801
115 1 2171707 246429
116 1 2171314 246368
118 1 2170572 246327
124 1 2171431 249737
125 1 2171732 249678
126 1 2172064 249545
127 1 2172422 249396
128 1 2172743 249262
129 1 2173042 249133
130 1 2173754 248841
132 1 2174213 249689
133 1 2174474 250271
134 1 2174641 250672
136 1 2174617 252676
137 1 2174773 253057
138 1 2175483 255160
139 1 2175591 255839
140 1 2175721 256195
141 1 2175849 256475
142 1 2175848 257046
143 1 2175819 257460
144 1 2175684 258059
145 1 2175462 258578
146 1 2176806 239629
148 1 2175851 240671
150 1 2176298 241848
151 1 2174670 242623
152 1 2174343 242764
155 1 2176551 239507
157 1 2175448 239875
158 1 2175232 239376
161 1 2173809 239906
163 1 2175249 259222
164 1 2175223 259802
165 1 2175213 260171
166 1 2175160 261867
167 1 2175144 262377
168 1 2175404 262429
169 1 2176040 262419
170 1 2176327 262407
171 1 2177087 262275
172 1 2177511 262072
173 1 2178015 261908
174 1 2179186 261698
175 1 2179638 261490
176 1 2180411 261049
177 1 2180816 260868
178 1 2181472 260569
179 1 2181926 260370
180 1 2182388 260173
181 1 2183885 259502
182 1 2184627 259169
183 1 2185004 259007
184 1 2185951 258590
185 1 2186536 258583
188 1 2187186 260145
189 1 2187333 260484
190 1 2187588 261063
191 1 2188292 261830
192 1 2188555 262431
193 1 2188816 263024
194 1 2189100 263649
195 1 2189284 264068
211 1 2191591 266868
212 1 2191898 267586
213 1 2192101 268039
214 1 2192280 268439
215 1 2192453 268824
216 1 2192634 269227
217 1 2192894 269668
219 1 2189389 261853
220 1 2188809 262365
221 1 2213759 277635
222 1 2213703 277043
223 1 2213142 275811
225 1 2210349 275099
226 1 2203822 273095
227 1 2199826 272548
228 1 2197529 270533
229 1 2196532 270286
230 1 2194074 269145
231 1 2193674 269324
232 1 2193277 269498
233 1 2192679 269330
234 1 2192501 268932
235 1 2192312 268506
236 1 2192140 268123
237 1 2191960 267728
238 1 2191647 266999
253 1 2189516 264593
254 1 2189318 264145
255 1 2189142 263746
256 1 2188873 263147
257 1 2188603 262541
258 1 2188476 262245
259 1 2188339 261936
260 1 2188209 261648
261 1 2187859 261445
262 1 2187644 261188
263 1 2187431 260707
264 1 2187244 260280
265 1 2187038 259802
266 1 2186800 259263
269 1 2186067 258538
270 1 2185075 258976
271 1 2184474 259235
272 1 2184138 259384
273 1 2183788 259548
274 1 2182459 260141
275 1 2182075 260306
276 1 2181694 260470
277 1 2180909 260826
278 1 2180511 261005
279 1 2180120 261172
280 1 2179720 261450
281 1 2179428 261587
282 1 2178232 262084
283 1 2177621 262325
284 1 2177285 262516
285 1 2176436 262872
286 1 2175824 262912
287 1 2175501 262906
288 1 2192887 269671
289 1 2193199 269533
290 1 2193601 269356
291 1 2193997 269179
292 1 2193882 268765
293 1 2193749 268470
294 1 2193537 267994
295 1 2194550 267874
296 1 2194891 268005
297 1 2194813 268845
298 1 2194956 269194
299 1 2195511 269921
300 1 2196492 270283
301 1 2197501 270522
302 1 2197924 270705
303 1 2198586 271166
304 1 2203613 273053
305 1 2207822 274442
306 1 2208188 274490
307 1 2209423 274690
308 1 2209952 274886
309 1 2210258 275046
310 1 2213014 277219
311 1 2188610 262452
312 1 2186398 258387
313 1 2187236 258026
314 1 2187136 257712
315 1 2187032 257446
316 1 2186911 257126
317 1 2186756 256775
318 1 2186643 256525
319 1 2186377 255920
320 1 2186247 255623
321 1 2186525 255078
322 1 2186947 254890
323 1 2188757 254767
324 1 2188998 255299
325 1 2189207 255772
326 1 2189433 256275
327 1 2189566 256572
328 1 2189695 256893
329 1 2189719 257598
330 1 2190139 257909
332 1 2190672 259019
333 1 2190932 259947
334 1 2190973 260349
335 1 2190991 261105
336 1 2190703 261496
337 1 2190845 261886
338 1 2191014 262280
339 1 2191588 263573
340 1 2191770 263987
342 1 2192022 264556
343 1 2192277 265148
344 1 2192521 265692
345 1 2192820 266377
346 1 2193027 266840
347 1 2193223 267284
348 1 2199679 272521
349 1 2186518 256233
350 1 2193509 267929
351 1 2193741 268450
352 1 2193865 268729
353 1 2194031 269103
354 1 2187320 263725
355 1 2187188 263546
356 1 2186875 263403
357 1 2185548 262505
358 1 2184896 261314
359 1 2184474 260366
360 1 2193292 267440
361 1 2193033 266855
362 1 2192866 266479
363 1 2192554 265766
364 1 2192303 265205
365 1 2192077 264681
366 1 2191783 264019
367 1 2191629 263664
368 1 2191446 263251
369 1 2191258 262825
370 1 2191088 262447
371 1 2191025 260990
372 1 2190970 260387
373 1 2190939 259999
374 1 2190849 259419
375 1 2190709 259104
376 1 2190221 258034
377 1 2189724 257616
378 1 2189732 257032
379 1 2189610 256673
380 1 2189476 256372
381 1 2189342 256076
382 1 2189204 255763
383 1 2189070 255463
384 1 2188939 255163
385 1 2187755 254170
386 1 2187367 254340
387 1 2186900 254549
388 1 2186442 254752
389 1 2185998 254950
390 1 2186010 255087
391 1 2186200 255517
392 1 2186341 255838
393 1 2186601 256427
394 1 2186728 256717
395 1 2186861 257014
396 1 2186997 257329
397 1 2187158 257763
398 1 2186911 258166
399 1 2186500 258342
407 1 2179031 259482
408 1 2178382 259773
409 1 2177620 260114
412 1 2177164 260314
413 1 2176826 260460
414 1 2176923 260777
415 1 2177111 261200
423 1 2174844 261386
424 1 2174856 260942
425 1 2174873 260501
426 1 2174919 259965
427 1 2174962 259104
428 1 2174574 256809
429 1 2174435 256506
430 1 2174050 255645
431 1 2173233 253788
432 1 2173094 253475
433 1 2172790 252793
434 1 2172647 252462
435 1 2172009 251035
436 1 2171823 250615
437 1 2171701 250338
439 1 2169759 246928
440 1 2169561 245819
441 1 2169512 245149
442 1 2169491 244869
443 1 2169434 244086
444 1 2169390 243536
445 1 2169345 242883
446 1 2169292 242218
447 1 2169180 241799
448 1 2169069 241441
449 1 2168904 240654
450 1 2168875 239672
451 1 2168835 239159
452 1 2168382 239129
453 1 2168246 238623
454 1 2168570 238552
472 1 2171874 250731
473 1 2172598 252351
474 1 2172762 252728
475 1 2173056 253391
476 1 2173858 255191
477 1 2174140 255851
478 1 2174276 256147
479 1 2174411 256452
480 1 2174551 256756
481 1 2174675 257047
482 1 2175024 257853
483 1 2175163 258535
484 1 2174991 258929
485 1 2174950 259337
486 1 2174916 259982
487 1 2174912 260614
488 1 2174900 261043
489 1 2174881 261567
493 1 2174944 259451
494 1 2175023 258850
495 1 2175356 258640
503 1 2175733 262450
505 1 2183717 263765
507 1 2191102 277365
508 1 2192029 277766
509 1 2195525 290448
511 1 2178745 266680
512 1 2179013 266862
513 1 2179435 267083
514 1 2180025 267343
515 1 2180493 267540
516 1 2180918 267722
517 1 2181144 268326
518 1 2181180 268701
519 1 2181226 269278
520 1 2181368 270011
522 1 2181484 270807
523 1 2181442 271357
524 1 2181189 271881
525 1 2181016 272418
526 1 2180991 272767
527 1 2180953 273224
529 1 2180849 275033
530 1 2181228 275490
531 1 2181825 276309
532 1 2181949 276732
533 1 2182287 277725
534 1 2183157 278470
536 1 2184537 279930
537 1 2184879 280210
538 1 2185301 280578
539 1 2185771 281394
540 1 2186137 282202
541 1 2186342 282856
542 1 2186545 283500
543 1 2187092 284111
544 1 2187809 284353
546 1 2189066 284698
547 1 2189401 284790
549 1 2190675 285172
550 1 2191710 285337
551 1 2192254 285486
552 1 2192684 286175
553 1 2192871 286630
554 1 2193183 287730
556 1 2193510 289082
557 1 2193818 290305
558 1 2195178 291690
559 1 2195159 291209
560 1 2195169 290246
561 1 2193691 293933
562 1 2194484 294009
563 1 2195904 293000
564 1 2195320 291726
568 1 2175022 261947
569 1 2174865 262179
570 1 2193804 290247
571 1 2193700 289837
572 1 2193343 288390
573 1 2193231 287933
574 1 2192873 286636
575 1 2191822 285347
576 1 2191130 285278
577 1 2190868 285218
578 1 2189446 284806
579 1 2189145 284717
580 1 2188820 284656
581 1 2187855 284369
583 1 2186579 283573
584 1 2186473 283290
585 1 2186375 282962
586 1 2186193 282385
587 1 2185821 281491
588 1 2185392 280690
589 1 2185160 280427
590 1 2184731 280111
591 1 2184503 279896
592 1 2184238 279760
593 1 2183205 278518
594 1 2182312 277739
595 1 2181956 276771
596 1 2181849 276371
597 1 2181379 275569
598 1 2180856 275044
599 1 2180952 273255
600 1 2181015 272444
601 1 2181183 271890
602 1 2181439 271386
603 1 2181445 270590
604 1 2181195 269016
605 1 2181158 268446
606 1 2180942 267731
607 1 2180501 267544
608 1 2180071 267362
609 1 2179443 267087
610 1 2178771 266697
611 1 2178334 266374
612 1 2184414 260228
613 1 2185558 262515
614 1 2186767 263361
615 1 2187273 263671
616 1 2188500 263220
617 1 2188787 263097
619 1 2189670 262712
621 1 2190725 262493
626 1 2195824 261069
627 1 2197163 260660
628 1 2197917 260390
629 1 2198473 259989
630 1 2199425 259531
631 1 2200687 259279
632 1 2202232 259435
636 1 2205275 265376
637 1 2204577 265356
638 1 2203891 265377
639 1 2203598 265652
640 1 2203861 265388
641 1 2204956 265330
642 1 2205203 265352
643 1 2205739 265554
665 1 2205234 264217
669 1 2201390 259220
670 1 2200741 259267
671 1 2199518 259510
672 1 2198487 259980
673 1 2197977 260334
675 1 2197214 260662
677 1 2196076 261015
679 1 2195203 261032
683 1 2190791 262463
684 1 2190482 262568
685 1 2189811 262652
687 1 2188946 263030
688 1 2188592 263180
689 1 2187967 263455
690 1 2187328 263722
695 1 2211145 257957
697 1 2211408 258552
698 1 2212437 259246
699 1 2213288 261204
701 1 2213648 262035
702 1 2212132 263228
703 1 2209743 263567
705 1 2208008 263779
709 1 2206776 267833
712 1 2184118 259540
713 1 2176063 262916
716 1 2175968 266137
724 1 2174923 268286
726 1 2174994 268962
727 1 2175042 269534
728 1 2175087 270168
729 1 2175105 270487
730 1 2175424 270494
731 1 2175403 269575
732 1 2175366 268999
733 1 2175312 268314
734 1 2175275 267775
739 1 2175625 266188
740 1 2175978 266136
742 1 2175249 259230
743 1 2175387 256776
744 1 2175019 256945
745 1 2174078 257363
746 1 2173791 257493
747 1 2173503 257667
748 1 2172568 258031
749 1 2172174 258216
750 1 2172200 258676
751 1 2172369 258859
752 1 2172309 259183
753 1 2172068 259937
754 1 2172423 260459
755 1 2172425 261008
756 1 2171990 260462
757 1 2172093 259778
758 1 2172314 259179
759 1 2172523 259204
760 1 2172844 259744
761 1 2173303 259285
762 1 2173394 259160
763 1 2174003 258869
764 1 2173665 258034
765 1 2173757 257508
766 1 2174560 257148
767 1 2174956 256973
768 1 2175262 256835
769 1 2175545 256704
771 1 2175796 257772
773 1 2174967 261007
774 1 2186830 268961
775 1 2186992 269318
776 1 2187339 270102
777 1 2188056 271712
778 1 2188814 273411
779 1 2196144 279453
780 1 2195095 278669
782 1 2189268 274430
783 1 2185225 264733
784 1 2178208 262217
789 1 2174854 262518
793 1 2174796 262821
794 1 2174829 261870
795 1 2174934 259795
796 1 2174490 259375
800 1 2175788 257805
801 1 2175115 263192
802 1 2176592 265872
803 1 2175109 263389
805 1 2175537 258761
806 1 2176023 258954
807 1 2176197 259290
808 1 2176317 259552
811 1 2177117 259375
812 1 2177497 259207
813 1 2178344 258860
814 1 2178844 258635
815 1 2179153 258496
816 1 2179534 258324
817 1 2179873 258170
818 1 2180341 257965
819 1 2182126 257131
820 1 2182366 256991
821 1 2182703 256796
822 1 2183159 256577
823 1 2183525 256415
824 1 2183944 256230
825 1 2184358 256046
826 1 2184758 255867
827 1 2185190 255673
828 1 2185736 255427
829 1 2186031 255296
830 1 2187395 254687
831 1 2187977 254759
832 1 2188263 254997
833 1 2189802 254721
834 1 2191566 253606
835 1 2191831 253453
836 1 2192601 253066
837 1 2193430 252908
838 1 2193753 252625
839 1 2194248 252281
840 1 2194723 252035
