parcelid xcoord_p ycoord_p sqft_p taz_p lutype_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp hh_1 stugrd_1 stuhgh_1 stuuni_1 empedu_1 empfoo_1 empgov_1 empind_1 empmed_1 empofc_1 empret_1 empsvc_1 empoth_1 emptot_1 parkdy_1 parkhr_1 ppricdy1 pprichr1 nodes1_1 nodes3_1 nodes4_1 tstops_1 nparks_1 aparks_1 hh_2 stugrd_2 stuhgh_2 stuuni_2 empedu_2 empfoo_2 empgov_2 empind_2 empmed_2 empofc_2 empret_2 empsvc_2 empoth_2 emptot_2 parkdy_2 parkhr_2 ppricdy2 pprichr2 nodes1_2 nodes3_2 nodes4_2 tstops_2 nparks_2 aparks_2 dist_lbus dist_ebus dist_crt dist_fry dist_lrt dist_park
1 2137219 212290 114952309 149 6 17.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 23.96 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.66 6.67 0.00 0.00 276.70 61581 80.27 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.10 0.14 0.00 0.00 0.24 0.00 0.00 0.00 0.00 6.71 14.31 0.02 0.00 627.90 59785 999.00 999.00 999.00 999.00 999.00 0.00
2 2261056 393247 427090 346 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.03 0.00 0.00 60.03 46705 0.69 0.00 0.00 0.00 0.00 0.21 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.23 0.00 0.00 0.00 0.00 1.00 0.36 0.00 0.00 188.99 53218 999.00 999.00 999.00 999.00 999.00 0.03
10 2175349 271325 127710 309 8 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 115.17 1.43 8.17 0.01 1.72 4.44 2.98 15.34 8.73 42.25 7.40 14.77 11.44 109.08 0.22 0.21 722.79 283.81 7.84 14.66 7.00 3.63 83.67 47144 751.11 55.15 164.51 17.10 44.84 126.72 41.72 118.54 121.83 428.69 110.15 138.59 165.26 1296.36 64.42 60.38 700.68 276.76 18.46 60.22 21.63 11.44 251.74 44110 0.19 999.00 999.00 999.00 999.00 0.01
11 2187846 253569 208075 327 9 19.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 329.54 23.39 792.61 0.01 294.53 4.07 44.25 51.66 181.25 54.20 32.01 50.02 8.52 720.51 0.00 0.00 1989.33 122.11 2.27 39.94 19.26 10.95 57.21 33705 1448.65 332.97 1148.01 23.54 421.61 59.44 143.18 207.47 1572.38 180.34 120.61 165.01 81.03 2951.08 8.15 7.58 1797.13 142.37 13.94 130.87 80.14 49.95 236.53 37717 0.21 999.00 999.00 999.00 999.00 0.01
12 2188222 253180 187271 328 8 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 322.08 24.93 685.28 0.01 255.64 4.49 54.04 58.25 151.67 48.93 30.44 51.23 8.93 663.61 0.00 0.00 1945.06 123.46 2.17 40.05 19.30 9.92 56.94 33573 1443.93 341.65 1131.58 21.15 420.14 60.73 152.47 216.54 1433.19 174.97 119.72 166.34 81.28 2825.38 7.36 6.82 1787.66 140.03 13.94 130.82 79.79 48.48 236.35 37619 0.25 999.00 999.00 999.00 999.00 0.05
13 2186630 252411 188038 327 1 25.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 465.85 227.76 92.79 0.01 65.04 17.41 126.42 87.02 95.58 34.00 24.72 73.09 19.53 542.81 0.01 0.01 1130.33 171.64 2.01 35.92 28.75 13.22 23.44 28666 1637.68 740.39 674.47 21.36 298.05 101.53 182.11 343.47 1094.23 187.01 138.54 196.61 123.39 2664.94 12.26 11.19 1362.22 171.43 13.43 134.35 96.88 52.92 173.14 34403 0.13 999.00 999.00 999.00 999.00 0.28
14 2187039 251844 201959 327 2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 10.00 0.00 0.00 0.00 0.00 327.83 142.93 117.42 0.00 64.21 17.59 47.43 78.60 47.63 30.82 30.29 51.60 18.62 386.79 0.00 0.00 919.10 185.30 2.67 34.98 21.16 12.65 45.16 32326 1422.13 592.39 690.39 11.14 298.95 95.14 141.70 307.99 718.41 157.62 129.85 180.82 104.75 2135.24 7.32 6.61 1291.95 178.05 15.26 129.06 78.00 46.07 221.58 36550 0.10 999.00 999.00 999.00 999.00 0.12
15 2187316 251203 299667 331 8 8.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 5.00 0.00 0.00 8.00 0.00 0.00 0.00 0.00 308.93 135.19 120.78 0.00 64.80 21.78 23.45 80.64 42.26 33.00 35.99 45.22 21.66 368.79 0.00 0.00 790.04 193.04 3.72 37.95 18.57 14.77 63.53 33876 1418.19 567.79 682.37 7.46 296.55 102.04 110.43 312.38 609.50 155.22 137.83 181.16 110.58 2015.69 5.93 5.30 1186.79 181.34 17.40 135.86 71.30 45.97 262.98 37564 0.03 999.00 999.00 999.00 999.00 0.08
16 2188130 252820 135043 328 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 304.64 29.91 529.06 0.01 199.29 5.63 38.98 60.05 113.99 41.62 29.07 48.09 9.90 546.61 0.00 0.00 1812.74 129.91 1.99 39.25 18.62 8.92 58.25 33560 1409.57 360.31 1108.19 17.54 418.98 63.77 135.52 221.02 1228.50 165.93 118.02 164.53 81.99 2598.27 6.39 5.92 1738.32 141.58 14.00 129.20 77.34 46.53 238.05 37601 0.30 999.00 999.00 999.00 999.00 0.02
17 2187716 251985 199664 328 0 8.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 6.00 0.00 5.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00 308.28 61.48 252.07 0.00 102.21 11.71 49.66 72.93 60.62 32.27 29.53 51.29 16.00 426.21 0.00 0.00 1242.53 160.85 2.66 38.35 19.64 10.14 57.98 32882 1378.42 442.32 865.61 11.44 346.77 78.13 142.97 264.96 848.57 154.49 121.94 172.97 90.95 2221.74 4.86 4.38 1565.92 149.16 15.03 129.01 74.38 44.53 236.35 37199 0.14 999.00 999.00 999.00 999.00 0.07
