PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	-1.226141	-63.725713	-6.214608	0.000000	0.000000	-250.612441
2	0.000000	2.912566	0.000000	0.000000	0.000000	-53.336521
10	-0.723155	1.242177	-9.375855	0.000000	0.000000	-73.237473
11	-5.991465	-294.226785	-7.863267	0.000000	0.000000	-67.642953
12	-0.500940	-1.564456	-6.551080	0.000000	0.000000	-220.097975
13	-5.991465	-294.226785	-7.863267	0.000000	0.000000	-67.642953
14	0.528680	0.482940	-7.863267	0.000000	0.000000	-67.642953
15	0.288262	0.498167	-6.214608	0.000000	0.000000	-79.623315
16	-0.500940	-1.564456	-6.551080	0.000000	0.000000	-220.097975
17	-0.500940	-1.564456	-6.551080	0.000000	0.000000	-220.097975
18	-0.500940	-1.564456	-6.551080	0.000000	0.000000	-220.097975
19	-0.041446	2.682884	-4.605170	0.000000	0.000000	-55.156682
20	-4.605170	-174.151314	-6.684612	0.000000	-4.605170	-261.609842
21	-0.980984	-11.258812	-8.536996	0.000000	0.000000	-258.408090
22	-0.046675	0.275279	-8.536996	0.000000	0.000000	-258.408090
23	0.316447	1.529649	-7.600902	0.000000	-4.605170	-295.465936
24	1.149161	-21.890552	-7.495542	0.000000	-4.605170	-287.836345
25	-6.396930	-273.697790	0.000000	0.000000	-5.298317	-255.623074
26	-1.285352	-80.533962	-7.740664	0.000000	0.000000	-71.216607
27	0.361741	-1.596337	-6.802395	0.000000	-4.605170	-284.224426
28	-0.232343	-0.441172	-6.684612	0.000000	-4.605170	-60.308814
29	0.000000	-56.217872	-4.605170	0.000000	0.000000	-87.097156
30	0.000000	-26.115089	0.000000	0.000000	-4.605170	-65.068137
31	-0.575553	-57.140066	0.000000	0.000000	0.000000	-53.177917
32	0.000000	-1.194382	-4.605170	0.000000	0.000000	-62.080373
33	-0.134319	0.171622	-6.802395	0.000000	0.000000	-67.052598
34	0.063298	1.202362	-6.214608	0.000000	0.000000	-75.279925
35	0.509671	0.966995	-7.170120	0.000000	0.000000	-103.478113
36	0.789616	-1.660463	-6.684612	0.000000	0.000000	-255.674722
37	0.464194	0.569505	-6.684612	0.000000	-5.298317	-267.936881
38	-0.021314	1.258218	-6.214608	0.000000	0.000000	-253.564850
39	-2.650969	-2.297516	-7.600902	0.000000	0.000000	-73.139043
40	-0.348384	-0.784877	-7.170120	0.000000	-4.605170	-65.099390
41	0.057081	-0.202785	-7.170120	0.000000	-4.605170	-65.099390
42	0.119892	3.724873	-6.396930	0.000000	-4.605170	-62.681392
43	0.098492	2.524942	-7.495542	0.000000	0.000000	-68.884140
44	-0.060702	-0.431232	-4.605170	0.000000	0.000000	-64.780455
45	-0.348384	-1.324322	-7.696213	0.000000	0.000000	-257.702519
