"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available"
"1400000US47065000400","Census Tract 4, Hamilton County, Tennessee","1380","124","356","114","673","150","281","89","26","28","44","34","573","125","193","71","257","83","103","72","0","12","20","23","600","149","142","93","353","137","79","62","26","28","0","12","184","83","21","34","63","59","93","50","0","12","7","14","23","28","0","12","0","12","6","10","0","12","17","27"
"1400000US47065000600","Census Tract 6, Hamilton County, Tennessee","1678","110","33","39","769","122","628","112","223","68","25","26","438","114","23","35","270","108","133","70","12","17","0","12","764","134","10","16","491","105","203","58","60","42","0","12","428","103","0","12","8","12","292","85","119","52","9","14","48","33","0","12","0","12","0","12","32","24","16","23"
"1400000US47065000700","Census Tract 7, Hamilton County, Tennessee","1994","106","47","59","672","131","847","148","354","134","74","46","240","95","12","18","150","74","17","20","61","69","0","12","926","157","35","55","492","131","302","113","65","53","32","30","772","138","0","12","30","30","514","117","186","99","42","46","56","44","0","12","0","12","14","21","42","40","0","12"
"1400000US47065000800","Census Tract 8, Hamilton County, Tennessee","870","78","64","45","454","83","291","71","50","30","11","12","257","70","44","43","162","58","45","26","6","9","0","12","371","77","15","14","257","72","74","38","20","22","5","9","231","53","5","7","35","31","172","54","19","15","0","12","11","11","0","12","0","12","0","12","5","8","6","8"
"1400000US47065001100","Census Tract 11, Hamilton County, Tennessee","711","61","101","50","265","64","206","67","113","47","26","22","272","67","83","48","159","59","22","24","8","13","0","12","229","62","18","16","75","36","93","47","43","31","0","12","180","56","0","12","31","24","91","48","39","30","19","21","30","22","0","12","0","12","0","12","23","20","7","11"
"1400000US47065001200","Census Tract 12, Hamilton County, Tennessee","1360","148","281","109","805","152","194","81","72","48","8","12","682","141","212","98","373","116","68","48","29","37","0","12","464","137","53","46","353","120","49","50","6","9","3","6","170","69","16","17","79","60","55","36","15","24","5","10","44","37","0","12","0","12","22","31","22","24","0","12"
"1400000US47065001300","Census Tract 13, Hamilton County, Tennessee","776","67","102","44","332","83","233","64","86","46","23","27","337","79","66","36","185","63","60","33","26","29","0","12","230","57","36","30","81","39","74","38","39","31","0","12","179","58","0","12","66","44","89","46","17","13","7","10","30","31","0","12","0","12","10","15","4","6","16","26"
"1400000US47065001400","Census Tract 14, Hamilton County, Tennessee","695","65","50","25","345","66","207","56","52","29","41","32","172","64","33","24","115","50","19","23","5","8","0","12","274","67","11","13","169","54","62","36","27","24","5","8","220","53","0","12","47","38","126","40","15","13","32","29","29","22","6","9","14","18","0","12","5","8","4","7"
"1400000US47065001600","Census Tract 16, Hamilton County, Tennessee","1639","171","812","179","727","200","67","54","18","28","15","25","1082","188","654","163","413","164","0","12","0","12","15","25","502","163","148","85","314","142","40","40","0","12","0","12","55","49","10","18","0","12","27","33","18","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US47065001800","Census Tract 18, Hamilton County, Tennessee","1117","127","28","35","383","112","538","132","125","62","43","35","239","69","28","35","99","46","87","53","25","39","0","12","495","97","0","12","258","89","189","89","39","30","9","16","357","111","0","12","26","28","254","106","53","35","24","26","26","22","0","12","0","12","8","14","8","11","10","15"
"1400000US47065001900","Census Tract 19, Hamilton County, Tennessee","1551","171","406","143","696","170","279","134","170","103","0","12","669","146","320","135","281","118","55","54","13","24","0","12","563","157","81","60","319","134","125","81","38","35","0","12","282","126","5","8","96","76","99","91","82","90","0","12","37","48","0","12","0","12","0","12","37","48","0","12"
"1400000US47065002000","Census Tract 20, Hamilton County, Tennessee","736","51","152","42","267","60","247","55","53","29","17","15","223","47","130","36","39","22","47","29","7","11","0","12","211","54","9","14","155","51","42","29","5","7","0","12","274","62","13","17","73","38","152","47","36","25","0","12","28","15","0","12","0","12","6","8","5","8","17","15"
"1400000US47065002300","Census Tract 23, Hamilton County, Tennessee","544","70","122","65","120","60","185","63","100","57","17","18","212","62","98","60","40","31","46","32","20","18","8","13","171","71","24","22","62","50","47","33","38","42","0","12","143","69","0","12","0","12","92","60","42","37","9","14","18","28","0","12","18","28","0","12","0","12","0","12"
