"GEO_ID","id"
"NAME","Geographic Area Name"
"B08203_001E","Estimate!!Total:"
"B08203_001M","Margin of Error!!Total:"
"B08203_002E","Estimate!!Total:!!No vehicle available"
"B08203_002M","Margin of Error!!Total:!!No vehicle available"
"B08203_003E","Estimate!!Total:!!1 vehicle available"
"B08203_003M","Margin of Error!!Total:!!1 vehicle available"
"B08203_004E","Estimate!!Total:!!2 vehicles available"
"B08203_004M","Margin of Error!!Total:!!2 vehicles available"
"B08203_005E","Estimate!!Total:!!3 vehicles available"
"B08203_005M","Margin of Error!!Total:!!3 vehicles available"
"B08203_006E","Estimate!!Total:!!4 or more vehicles available"
"B08203_006M","Margin of Error!!Total:!!4 or more vehicles available"
"B08203_007E","Estimate!!Total:!!No workers:"
"B08203_007M","Margin of Error!!Total:!!No workers:"
"B08203_008E","Estimate!!Total:!!No workers:!!No vehicle available"
"B08203_008M","Margin of Error!!Total:!!No workers:!!No vehicle available"
"B08203_009E","Estimate!!Total:!!No workers:!!1 vehicle available"
"B08203_009M","Margin of Error!!Total:!!No workers:!!1 vehicle available"
"B08203_010E","Estimate!!Total:!!No workers:!!2 vehicles available"
"B08203_010M","Margin of Error!!Total:!!No workers:!!2 vehicles available"
"B08203_011E","Estimate!!Total:!!No workers:!!3 vehicles available"
"B08203_011M","Margin of Error!!Total:!!No workers:!!3 vehicles available"
"B08203_012E","Estimate!!Total:!!No workers:!!4 or more vehicles available"
"B08203_012M","Margin of Error!!Total:!!No workers:!!4 or more vehicles available"
"B08203_013E","Estimate!!Total:!!1 worker:"
"B08203_013M","Margin of Error!!Total:!!1 worker:"
"B08203_014E","Estimate!!Total:!!1 worker:!!No vehicle available"
"B08203_014M","Margin of Error!!Total:!!1 worker:!!No vehicle available"
"B08203_015E","Estimate!!Total:!!1 worker:!!1 vehicle available"
"B08203_015M","Margin of Error!!Total:!!1 worker:!!1 vehicle available"
"B08203_016E","Estimate!!Total:!!1 worker:!!2 vehicles available"
"B08203_016M","Margin of Error!!Total:!!1 worker:!!2 vehicles available"
"B08203_017E","Estimate!!Total:!!1 worker:!!3 vehicles available"
"B08203_017M","Margin of Error!!Total:!!1 worker:!!3 vehicles available"
"B08203_018E","Estimate!!Total:!!1 worker:!!4 or more vehicles available"
"B08203_018M","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available"
"B08203_019E","Estimate!!Total:!!2 workers:"
"B08203_019M","Margin of Error!!Total:!!2 workers:"
"B08203_020E","Estimate!!Total:!!2 workers:!!No vehicle available"
"B08203_020M","Margin of Error!!Total:!!2 workers:!!No vehicle available"
"B08203_021E","Estimate!!Total:!!2 workers:!!1 vehicle available"
"B08203_021M","Margin of Error!!Total:!!2 workers:!!1 vehicle available"
"B08203_022E","Estimate!!Total:!!2 workers:!!2 vehicles available"
"B08203_022M","Margin of Error!!Total:!!2 workers:!!2 vehicles available"
"B08203_023E","Estimate!!Total:!!2 workers:!!3 vehicles available"
"B08203_023M","Margin of Error!!Total:!!2 workers:!!3 vehicles available"
"B08203_024E","Estimate!!Total:!!2 workers:!!4 or more vehicles available"
"B08203_024M","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available"
"B08203_025E","Estimate!!Total:!!3 or more workers:"
"B08203_025M","Margin of Error!!Total:!!3 or more workers:"
"B08203_026E","Estimate!!Total:!!3 or more workers:!!No vehicle available"
"B08203_026M","Margin of Error!!Total:!!3 or more workers:!!No vehicle available"
"B08203_027E","Estimate!!Total:!!3 or more workers:!!1 vehicle available"
"B08203_027M","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available"
"B08203_028E","Estimate!!Total:!!3 or more workers:!!2 vehicles available"
"B08203_028M","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available"
"B08203_029E","Estimate!!Total:!!3 or more workers:!!3 vehicles available"
"B08203_029M","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available"
"B08203_030E","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available"
"B08203_030M","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available"
