,WADDR_ID,WXCORD,WYCORD
0,1 BROAD ST_CHATTANOOGA_TN,-85.310084,35.056018
1,1 CAMERON HILL CIR_CHATTANOOGA_TN,-85.31764400000003,35.053281999999996
2,1 FOUNTAIN SQUARE_CHATTANOOGA_TN,-85.30062111111111,35.044979444444444
3,1 SISKIN PLAZA_CHATTANOOGA_TN,-85.291675,35.050347
4,1 UNION SQ # 100_CHATTANOOGA_TN,-85.310938,35.045358
5,1 UNION SQ # 1_CHATTANOOGA_TN,-85.310938,35.045358
6,1 UNION SQ # 500_CHATTANOOGA_TN,-85.310938,35.045358
7,1 UNION SQ_CHATTANOOGA_TN,-85.31093155,35.04537436666667
8,10 BLUFF VIEW AVE_CHATTANOOGA_TN,-85.305494,35.0549489
9,10 FOUNTAIN CIR_CHATTANOOGA_TN,-85.2500785,35.0067267
10,10 SPRINGS ST_ROSSVILLE_GA,-85.2860676,34.9831309
11,10 W M L KING BLVD_CHATTANOOGA_TN,-85.3099079,35.04525
12,100 BRYAN ST_ROSSVILLE_GA,-85.289089,34.980214
13,100 E 10TH ST_CHATTANOOGA_TN,-85.308598,35.044428
14,100 E 11TH ST_CHATTANOOGA_TN,-85.307515,35.042752
15,100 GROSS CRESCENT CIR_FORT OGLETHORPE_GA,-85.26313116666667,34.94873366666666
16,100 HAMM RD_CHATTANOOGA_TN,-85.330636,35.052347
17,100 MITCHELL RD_FORT OGLETHORPE_GA,-85.218106,34.953883
18,1000 NEWBY ST_CHATTANOOGA_TN,-85.306671,35.043572
19,1000 RIVERFRONT PKWY_CHATTANOOGA_TN,-85.321654,35.047672
20,1001 AIRPORT ROAD_CHATTANOOGA_TN,-85.196696,35.037276
21,1001 BIRMINGHAM HIGHWAY_CHATTANOOGA_TN,-85.389817,34.995534
22,1001 BROAD ST_CHATTANOOGA_TN,-85.3104208,35.0448117
23,1001 LATTA ST_CHATTANOOGA_TN,-85.2680029,35.071133
24,1003 ASHLAND TERRACE_CHATTANOOGA_TN,-85.2630958,35.116392
25,1005 DODDS AVENUE_CHATTANOOGA_TN,-85.267734,35.025907
26,1005 MOUNTAIN CREEK RD_CHATTANOOGA_TN,-85.325924,35.109632
27,1005 RIDGEWAY AVE_SIGNAL MOUNTAIN_TN,-85.336348,35.127295
28,1008 N BEAUMONT RD_ROCK SPRING_GA,-85.1994734,34.8255313
29,1009 PINEVILLE ROAD_CHATTANOOGA_TN,-85.329624,35.073513
