FID_1,id,waddrid,wxcord,wycord,TAZID,COUNTYID,STATEID,AREA_TYPE,DISTR_ID,SDISTR_ID,EXTERNAL
98,98,1201 CHEROKEE TRAIL_CHATTANOOGA_TN,-85.33315200000,35.10368000000,252,65,47,4,3,8,0
101,101,1201 SUCK CREEK ROAD_CHATTANOOGA_TN,-85.33315200000,35.10368000000,252,65,47,4,3,8,0
102,102,1202  CHEROKEE TRL_CHATTANOOGA_TN,-85.35821010000,35.10400630000,252,65,47,4,3,8,0
171,171,1440 PALISADES RD_SIGNAL MOUNTAIN_TN,-85.35114200000,35.10781900000,252,65,47,4,3,8,0
208,208,171 BAYLOR SCHOOL RD_CHATTANOOGA_TN,-85.33772900000,35.08674100000,252,65,47,4,3,8,0
560,560,409 SIGNAL MOUNTAIN RD_CHATTANOOGA_TN,-85.33098100000,35.08987500000,252,65,47,4,3,8,0
667,667,501 SIGNAL MOUNTAIN RD_CHATTANOOGA_TN,-85.33160000000,35.09440000000,252,65,47,4,3,8,0
1069,1069,BAYLOR SCHOOL RD / NEW BAYLOR SCHOOL RD_CHATTANOOGA_TN,-85.33359560000,35.08511530000,252,65,47,4,3,8,0
479,479,3322 BOYDSTON RD_CHATTANOOGA_TN,-85.35242600000,35.05327100000,251,65,47,4,10,38,0
857,857,701 BROWNS FERRY RD_CHATTANOOGA_TN,-85.35673000000,35.04452800000,251,65,47,4,10,38,0
403,403,2650 SAM POWELL DRIVE_SIGNAL MOUNTAIN_TN,-85.36583200000,35.16013100000,402,65,47,4,3,12,0
616,616,4435 SHACKLEFORD RIDGE ROAD_SIGNAL MOUNTAIN_TN,-85.35905900000,35.15594400000,402,65,47,4,3,12,0
1110,1110,IGOU FERRY RD / STONESAGE RD_LAKESITE_TN,-85.08800910000,35.23312630000,346,65,47,0,5,16,0
786,786,6133 BAYSHORE DR_HARRISON_TN,-85.13691100000,35.12384800000,364,65,47,3,9,23,0
799,799,6225 TENNESSEE 58_HARRISON_TN,-85.12556500000,35.12253800000,364,65,47,3,9,23,0
870,870,7053 TAILWINDS DR_LAKESITE_TN,-85.10374300000,35.16957400000,356,65,47,3,9,28,0
973,973,8411 HARRISON BAY RD_HARRISON_TN,-85.10758050000,35.15209560000,356,65,47,3,9,28,0
990,990,8858 RIVER COVE DR_HARRISON_TN,-85.09613400000,35.17756500000,356,65,47,3,9,28,0
1014,1014,9120 HUNDLEY RD_HARRISON_TN,-85.15387000000,35.11665800000,370,65,47,3,6,19,0
979,979,8529 SNOW HILL RD_OOLTEWAH_TN,-85.05940180000,35.16542780000,355,65,47,3,9,28,0
817,817,6459 SOLITUDE DR_HARRISON_TN,-85.16670600000,35.12564500000,376,65,47,3,6,19,0
754,754,5940 TENNESSEE 58_HARRISON_TN,-85.12755700000,35.11479400000,369,65,47,3,9,23,0
775,775,6100 TENNESSEE 58_HARRISON_TN,-85.12324000000,35.11762100000,369,65,47,3,9,23,0
781,781,6120 TENNESSEE 58_HARRISON_TN,-85.12413500000,35.11987900000,369,65,47,3,9,23,0
846,846,6823 DEERWOOD DR_HARRISON_TN,-85.12519500000,35.11422400000,369,65,47,3,9,23,0
867,867,7036 SPORTSMAN DR_HARRISON_TN,-85.11303300000,35.12606790000,369,65,47,3,9,23,0
1150,1150,WILLARD DR / CROSS ST_CHATTANOOGA_TN,-85.20797530000,35.08386840000,447,65,47,3,6,19,0
1133,1133,RIVER CHASE RD / FOX DEN LN_HIXSON_TN,-85.19352700000,35.13063160000,495,65,47,3,3,13,0
984,984,8616 OOLTEWAH GEORGETOWN RD_OOLTEWAH_TN,-85.03237300000,35.16136700000,609,65,47,4,9,27,0
159,159,14049 SCENIC HWY_MORGANVILLE_GA,-85.41068900000,34.92425000000,149,83,13,4,11,36,0
1137,1137,SCENIC HWY / BAILEY RD_LOOKOUT MOUNTAIN_GA,-85.41087760000,34.92346500000,149,83,13,4,11,36,0
611,611,441 EAGLE CLIFF DR_FLINTSTONE_GA,-85.35904200000,34.92169500000,696,295,13,4,11,29,0
694,694,5209 HWY 193_FLINTSTONE_GA,-85.35209850000,34.91789080000,696,295,13,4,11,29,0
975,975,847 ALLGOOD RD_FLINTSTONE_GA,-85.35958260000,34.92959960000,696,295,13,4,11,29,0
976,976,847 ALLGOOD ROAD_FLINTSTONE_GA,-85.35884700000,34.92924300000,696,295,13,4,11,29,0
1138,1138,SCHOOL LN / ALLGOOD RD_CHATTANOOGA VALLEY_GA,-85.35875540000,34.92869620000,696,295,13,4,11,29,0
473,473,326 HERMAN BUCK LN_CHICKAMAUGA_GA,-85.34390600000,34.85464000000,208,295,13,4,11,31,0
442,442,306 COVE ROAD_CHICKAMAUGA_GA,-85.29377200000,34.86936600000,697,295,13,4,11,31,0
352,352,222 INDUSTRIAL DRIVE_CHICKAMAUGA_GA,-85.26208600000,34.85223000000,211,295,13,4,11,31,0
306,306,208 WALKER RD_MORGANVILLE_GA,-85.41487820000,34.95202560000,713,83,13,4,11,36,0
816,816,6447 SLYGO RD_MORGANVILLE_GA,-85.43996600000,34.97074400000,156,83,13,4,11,36,0
65,65,1100 MOUNTAIN CREEK ROAD_CHATTANOOGA_TN,-85.32111900000,35.11150200000,381,65,47,3,3,8,0
928,928,776 MOUNTAIN CREEK RD NW_CHATTANOOGA_TN,-85.32724600000,35.09961700000,381,65,47,3,3,8,0
1140,1140,SIGNAL MOUNTAIN BLVD / MOUNTAIN CREEK RD_CHATTANOOGA_TN,-85.32807180000,35.09856900000,389,65,47,3,3,8,0
16,16,100 HAMM RD_CHATTANOOGA_TN,-85.33063600000,35.05234700000,250,65,47,3,3,7,0
29,29,1009 PINEVILLE ROAD_CHATTANOOGA_TN,-85.32962400000,35.07351300000,250,65,47,3,3,7,0
850,850,694 MANUFACTURERS RD_CHATTANOOGA_TN,-85.31974900000,35.06098500000,250,65,47,3,3,7,0
852,852,700 MANUFACTURERS RD_CHATTANOOGA_TN,-85.32087700000,35.05987100000,250,65,47,3,3,7,0
80,80,115 BROWNS FERRY RD_CHATTANOOGA_TN,-85.36559120000,35.02194850000,379,65,47,3,10,38,0
449,449,3101 PARKER LN_CHATTANOOGA_TN,-85.36212300000,35.02691990000,379,65,47,3,10,38,0
21,21,1001 BIRMINGHAM HIGHWAY_CHATTANOOGA_TN,-85.38981700000,34.99553400000,715,65,47,3,10,38,0
489,489,3401 CUMMINGS ROAD_CHATTANOOGA_TN,-85.38278200000,35.00898300000,715,65,47,3,10,38,0
500,500,351 LABELING WAY_CHATTANOOGA_TN,-85.38662300000,35.01292600000,715,65,47,3,10,38,0
504,504,3550 CUMMINGS HIGHWAY_CHATTANOOGA_TN,-85.37710000000,35.01620000000,715,65,47,3,10,38,0
535,535,400 BIRMINGHAM HIGHWAY_CHATTANOOGA_TN,-85.39143800000,35.00907400000,715,65,47,3,10,38,0
471,471,324 WARREN DR_CHATTANOOGA_TN,-85.37099800000,35.03276100000,404,65,47,3,10,38,0
124,124,1278 US 127_SIGNAL MOUNTAIN_TN,-85.35365700000,35.11181900000,400,65,47,3,3,12,0
551,551,401 ROLLING WAY_SIGNAL MOUNTAIN_TN,-85.33356490000,35.13086290000,400,65,47,3,3,12,0
1022,1022,923 SIGNAL RD_SIGNAL MOUNTAIN_TN,-85.33930800000,35.12321900000,400,65,47,3,3,12,0
315,315,211 SUNNYBROOK TRAIL_SIGNAL MOUNTAIN_TN,-85.34912200000,35.12980300000,401,65,47,3,3,12,0
316,316,211 SUNNYBROOK TRL_SIGNAL MOUNTAIN_TN,-85.34912200000,35.12980300000,401,65,47,3,3,12,0
808,808,630 MISSISSIPPI AVENUE_SIGNAL MOUNTAIN_TN,-85.34884900000,35.12173900000,401,65,47,3,3,12,0
865,865,702 SIGNAL MOUNTAIN BLVD_SIGNAL MOUNTAIN_TN,-85.34954700000,35.12226500000,401,65,47,3,3,12,0
937,937,800 SIGNAL MOUNTAIN BLVD_SIGNAL MOUNTAIN_TN,-85.34638900000,35.12222000000,401,65,47,3,3,12,0
948,948,802 SIGNAL MOUNTAIN BLVD_SIGNAL MOUNTAIN_TN,-85.34458500000,35.12204600000,401,65,47,3,3,12,0
27,27,1005 RIDGEWAY AVE_SIGNAL MOUNTAIN_TN,-85.33634800000,35.12729500000,513,65,47,3,3,12,0
74,74,1111 RIDGEWAY AVE_SIGNAL MOUNTAIN_TN,-85.33638900000,35.13001700000,513,65,47,3,3,12,0
1112,1112,JAMES BLVD / ROLLING WAY_SIGNAL MOUNTAIN_TN,-85.33628820000,35.13318690000,513,65,47,3,3,12,0
241,241,1902 ROCK BLUFF RD_MIDDLE VALLEY_TN,-85.17541600000,35.15591000000,533,65,47,3,3,13,0
813,813,6349 SEA HAVEN DR_MIDDLE VALLEY_TN,-85.17871700000,35.14578700000,533,65,47,3,3,13,0
267,267,2000 SEQUOYAH ACCESS RD_SODDY-DAISY_TN,-85.11153970000,35.22772930000,596,65,47,3,5,14,0
43,43,10326 COUNTY HIGHWAY 603_LAKESITE_TN,-85.11168430000,35.22773280000,597,65,47,3,5,14,0
320,320,2117 FRANKIE LN_LAKESITE_TN,-85.11158600000,35.25164800000,597,65,47,3,5,14,0
394,394,2600 IGOU FERRY ROAD_SODDY-DAISY_TN,-85.10178300000,35.23163700000,597,65,47,3,5,14,0
86,86,11704 DOLLY POND ROAD_BIRCHWOOD_TN,-85.02304800000,35.27051300000,360,65,47,4,9,28,0
26,26,1005 MOUNTAIN CREEK RD_CHATTANOOGA_TN,-85.32592400000,35.10963200000,399,65,47,3,3,8,0
91,91,1182 MOUNTAIN CRK RD_CHATTANOOGA_TN,-85.31608900000,35.11883200000,398,65,47,3,3,8,0
96,96,1200 MOUNTAIN CREEK RD_CHATTANOOGA_TN,-85.31501600000,35.11809600000,398,65,47,3,3,8,0
815,815,640 MORRISON SPRINGS RD_CHATTANOOGA_TN,-85.30625193000,35.12299200000,398,65,47,3,3,8,0
438,438,3010 LANCASTER CIR_CHATTANOOGA_TN,-85.30246200000,35.10632700000,387,65,47,3,3,8,0
466,466,3212 DAYTON BLVD_CHATTANOOGA_TN,-85.29610620000,35.10796820000,387,65,47,3,3,8,0
