w_geocode,state,stateID,county,countyID,tract,block_group,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CNSTotal,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,empedu_p,empTotal,emptrn_p
130470301001004,Georgia,13,Catoosa County,047,030100,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,37,0,0,0,0,0,0,0,0,37,0
130470301001010,Georgia,13,Catoosa County,047,030100,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0
130470301001012,Georgia,13,Catoosa County,047,030100,1012,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,5,0,8,0
130470301001014,Georgia,13,Catoosa County,047,030100,1014,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0
130470301001016,Georgia,13,Catoosa County,047,030100,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
130470301001017,Georgia,13,Catoosa County,047,030100,1017,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0
130470301001033,Georgia,13,Catoosa County,047,030100,1033,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,2,12,0,0,0,0,0,14,2
130470301001052,Georgia,13,Catoosa County,047,030100,1052,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0
130470301001061,Georgia,13,Catoosa County,047,030100,1061,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470301001063,Georgia,13,Catoosa County,047,030100,1063,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0
130470301002039,Georgia,13,Catoosa County,047,030100,2039,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,59,0,0,0,0,0,0,59,59
130470301002047,Georgia,13,Catoosa County,047,030100,2047,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,16,0
130470301003000,Georgia,13,Catoosa County,047,030100,3000,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,13,13
130470301003011,Georgia,13,Catoosa County,047,030100,3011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
130470301003036,Georgia,13,Catoosa County,047,030100,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0
130470301003039,Georgia,13,Catoosa County,047,030100,3039,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
130470301003040,Georgia,13,Catoosa County,047,030100,3040,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0
130470301004007,Georgia,13,Catoosa County,047,030100,4007,0,0,0,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,38,0,0,0,0,20,0,0,18,0,38,0
130470301004010,Georgia,13,Catoosa County,047,030100,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
130470301004013,Georgia,13,Catoosa County,047,030100,4013,0,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,15,0,42,0,0,0,0,0,23,15,4,0,42,0
130470301004015,Georgia,13,Catoosa County,047,030100,4015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,5
130470301004016,Georgia,13,Catoosa County,047,030100,4016,0,0,0,0,0,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,30,0,0,32,0,0,0,62,30
130470301004024,Georgia,13,Catoosa County,047,030100,4024,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0
130470301004026,Georgia,13,Catoosa County,047,030100,4026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
130470301004031,Georgia,13,Catoosa County,047,030100,4031,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0
130470302011002,Georgia,13,Catoosa County,047,030201,1002,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,22,0,0,0,20,0,0,0,2,0,22,0
130470302011015,Georgia,13,Catoosa County,047,030201,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,240,0,0,0,0,0,0,0,0,240,240,0
