STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
13,295,20301,13295020301,203.01,Census Tract 203.01,G5020,S,24474835,0,34.9603529,-85.3258801
13,295,20601,13295020601,206.01,Census Tract 206.01,G5020,S,68898471,112397,34.8133935,-85.2380453
13,295,20302,13295020302,203.02,Census Tract 203.02,G5020,S,24465856,0,34.9249867,-85.3349449
13,295,20400,13295020400,204,Census Tract 204,G5020,S,67057806,20972,34.8755088,-85.4066127
13,295,20502,13295020502,205.02,Census Tract 205.02,G5020,S,85593690,75196,34.852755,-85.3420753
13,295,20200,13295020200,202,Census Tract 202,G5020,S,5474639,5613,34.9720208,-85.2891023
13,295,20501,13295020501,205.01,Census Tract 205.01,G5020,S,29452192,137521,34.8973558,-85.3034468
13,295,20100,13295020100,201,Census Tract 201,G5020,S,20165099,0,34.9375671,-85.2762861
13,47,30401,13047030401,304.01,Census Tract 304.01,G5020,S,59739639,87041,34.8839644,-85.2139976
13,47,30600,13047030600,306,Census Tract 306,G5020,S,6544746,32573,34.9737992,-85.2461977
13,47,30100,13047030100,301,Census Tract 301,G5020,S,145114505,44712,34.907073,-85.0612959
13,47,30700,13047030700,307,Census Tract 307,G5020,S,29890482,0,34.9285875,-85.2426317
13,47,30402,13047030402,304.02,Census Tract 304.02,G5020,S,21637098,207637,34.9703365,-85.1757893
13,47,30500,13047030500,305,Census Tract 305,G5020,S,9506642,0,34.9714646,-85.2215047
13,83,40101,13083040101,401.01,Census Tract 401.01,G5020,S,123660947,169553,34.9310919,-85.4641634
13,47,30304,13047030304,303.04,Census Tract 303.04,G5020,S,52716484,0,34.8200885,-85.1587599
13,47,30301,13047030301,303.01,Census Tract 303.01,G5020,S,18799309,0,34.9050823,-85.1511705
13,47,30202,13047030202,302.02,Census Tract 302.02,G5020,S,36855037,399196,34.9571841,-85.1201935
13,47,30201,13047030201,302.01,Census Tract 302.01,G5020,S,13803587,0,34.9289717,-85.1389472
13,47,30303,13047030303,303.03,Census Tract 303.03,G5020,S,25391903,0,34.861628,-85.1652072
13,83,40300,13083040300,403,Census Tract 403,G5020,S,103153228,220331,34.8023519,-85.4532727
47,65,10411,47065010411,104.11,Census Tract 104.11,G5020,S,17103362,37850,35.1876924,-85.2117517
47,65,1800,47065001800,18,Census Tract 18,G5020,S,5595289,0,34.9988768,-85.3342208
47,65,11411,47065011411,114.11,Census Tract 114.11,G5020,S,12264968,3031800,35.0958357,-85.214927
47,65,1900,47065001900,19,Census Tract 19,G5020,S,8494824,30874,35.0037462,-85.3148911
