route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,blockname
1,64,135832010,ALTON PARK,0,101,1:03,101
1,64,135834010,ALTON PARK,0,101,1:04,101
1,64,135842010,DOWNTOWN,1,101,1:66,101
1,64,135844010,DOWNTOWN,1,101,1:66,101
10A,64,135931010,AVONDALE,0,101,10A:01,101
10A,64,135940010,DOWNTOWN,1,101,10A:59,101
10G,64,136040010,GLENWOOD,0,101,10G:04,101
10G,64,136042010,DOWNTOWN,1,101,10G:54,101
21,64,136733010,GOLDEN GATEWAY,0,101,21:01,101
21,64,136745010,DOWNTOWN,1,101,21:51,101
4,64,137188010,EASTGATE HAMILTON PL,0,101,4:13,101
4,64,137199010,DOWNTOWN VIA GOLDEN GATE,1,101,4:69,101
1,305,135696020,ALTON PARK,0,102,1:03,101
1,305,135701020,ALTON PARK,0,102,1:03,101
1,305,135706020,ALTON PARK,0,102,1:03,101
1,305,135709020,ALTON PARK,0,102,1:03,101
1,305,135741020,DOWNTOWN,1,102,1:65,101
1,305,135745020,DOWNTOWN,1,102,1:66,101
1,305,135748020,DOWNTOWN,1,102,1:66,101
1,305,135754020,DOWNTOWN,1,102,1:66,101
10A,305,135846020,AVONDALE,0,102,10A:01,101
10A,305,135857020,AVONDALE,0,102,10A:01,101
10A,305,135866020,AVONDALE,0,102,10A:01,101
10G,305,135976020,DOWNTOWN,1,102,10G:54,101
10G,305,135987020,DOWNTOWN,1,102,10G:54,101
10A,58,135916070,DOWNTOWN,1,707,10A:59,103
10G,58,136010070,GLENWOOD,0,707,10G:04,103
10G,58,136015070,GLENWOOD,0,707,10G:04,103
10G,58,136029070,DOWNTOWN,1,707,10G:54,103
10G,58,136034070,DOWNTOWN,1,707,10G:54,103
1,305,135692020,ALTON PARK,0,902,1:04,1033
1,305,135737020,DOWNTOWN,1,902,1:66,1033
10A,305,135856020,AVONDALE,0,902,10A:01,1033
10G,305,135986020,DOWNTOWN,1,902,10G:54,1033
7,305,137344020,CHATTANOOGA HOUSING AUTHORITY,0,902,7:01,1033
1,305,135708020,ALTON PARK,0,1002,1:04,104
1,305,135753020,DOWNTOWN,1,1002,1:66,104
10A,305,135872020,DOWNTOWN,1,1002,10A:59,104
10C,305,135949020,CAMPBELL,0,1002,10C:07,104
1,58,135785070,ALTON PARK,0,1007,1:03,104
1,58,135815070,DOWNTOWN,1,1007,1:66,104
10A,58,135906070,AVONDALE,0,1007,10A:01,104
10G,58,136032070,DOWNTOWN,1,1007,10G:55,104
10G,58,136035070,DOWNTOWN,1,1007,10G:54,104
1,305,135705020,ALTON PARK,0,1102,1:03,105
1,305,135752020,DOWNTOWN,1,1102,1:66,105
10A,305,135855020,AVONDALE,0,1102,10A:01,105
13,305,136067020,DOWNTOWN,1,1802,13:53,1351
13,305,136068020,DOWNTOWN,1,1802,13:53,1351
13,305,136069020,DOWNTOWN,1,1802,13:53,1351
13,305,136070020,DOWNTOWN,1,1802,13:53,1351
13,305,136047020,ROSSVILLE,0,1902,13:03,1352
13,305,136048020,ROSSVILLE,0,1902,13:03,1352
13,305,136049020,ROSSVILLE,0,1902,13:02,1352
13,305,136063020,DOWNTOWN,1,1902,13:52,1352
13,305,136064020,DOWNTOWN,1,1902,13:53,1352
13,305,136065020,DOWNTOWN,1,1902,13:53,1352
10A,305,135874020,DOWNTOWN,1,2002,10A:52,150
10G,305,135958020,GLENWOOD,0,2002,10G:03,150
4,305,136996020,EASTGATE HAMILTON PL,0,2002,4:13,150
4,305,136997020,EASTGATE HAMILTON PL,0,2002,4:13,150
4,305,136998020,EASTGATE HAMILTON PL,0,2002,4:13,150
4,305,137060020,DOWNTOWN,1,2002,4:65,150
4,305,137061020,DOWNTOWN,1,2002,4:64,150
4,305,137062020,DOWNTOWN,1,2002,4:64,150
15,305,136432020,ST ELMO VIA INCLINE ,0,2102,15:01,1501
15,305,136433020,ST ELMO VIA INCLINE ,0,2102,15:01,1501
15,305,136434020,ST ELMO VIA INCLINE ,0,2102,15:01,1501
15,305,136435020,ST ELMO VIA INCLINE ,0,2102,15:01,1501
15,305,136436020,ST ELMO VIA INCLINE ,0,2102,15:01,1501
15,305,136437020,ST ELMO VIA INCLINE ,0,2102,15:03,1501
10A,305,135883020,DOWNTOWN,1,2602,10A:52,1514
