id,stream,stream_id
38586,downstream,1829
38586,downstream,10184
111,downstream,112
111,upstream,110
284,downstream,283
284,downstream,285
284,upstream,110
635,downstream,636
635,downstream,782
635,upstream,634
1101,downstream,1102
1101,upstream,1100
1198,downstream,37945
1198,downstream,1200
1198,downstream,5829
1198,upstream,2063
1198,upstream,11550
1583,downstream,1892
1583,downstream,4447
1583,upstream,10775
1583,upstream,1585
1690,downstream,38282
1690,downstream,1689
1690,downstream,37943
1690,upstream,1197
1743,downstream,2397
1743,downstream,8494
1743,upstream,1830
1832,downstream,38154
1832,downstream,1393
1832,downstream,7531
1832,upstream,1833
2056,downstream,2184
2056,upstream,5787
2056,upstream,1196
2308,downstream,2307
2308,upstream,487
2308,upstream,990
2622,downstream,14596
2622,upstream,14592
2623,upstream,14598
2624,downstream,14601
2624,upstream,14600
2832,downstream,14593
2832,upstream,14590
2833,downstream,14597
2833,downstream,14602
2833,upstream,14594
2834,upstream,14599
2867,downstream,2866
2867,upstream,4438
2868,downstream,2866
2868,upstream,2869
2868,upstream,2871
4443,downstream,4448
4443,downstream,4455
4443,upstream,4439
4443,upstream,4440
4444,downstream,1892
4444,downstream,4447
4444,upstream,4442
4446,downstream,4498
4446,upstream,4433
4449,downstream,4454
4449,downstream,4460
4450,downstream,4451
4450,downstream,4463
4450,upstream,4442
4453,downstream,4456
4453,upstream,4438
4454,upstream,4449
4454,downstream,4461
4454,downstream,4466
4491,downstream,4497
4491,upstream,10740
4531,downstream,4530
4531,upstream,10765
4784,upstream,1100
4785,downstream,4789
4786,downstream,4789
4787,downstream,4791
4787,upstream,4777
4788,downstream,4791
4793,downstream,4801
4793,downstream,4806
4793,upstream,4778
4795,downstream,8502
4795,upstream,4780
4795,upstream,4779
4797,downstream,1102
4797,upstream,4783
4797,upstream,4782
4797,upstream,4781
4810,downstream,4826
4810,upstream,4750
5782,downstream,11118
5783,downstream,11118
5783,upstream,5775
5799,downstream,5811
5799,upstream,5797
5800,downstream,5811
5800,upstream,5777
5800,upstream,5778
5801,downstream,5839
5801,upstream,5775
5802,downstream,5839
5802,upstream,5756
5803,upstream,11321
5804,downstream,5813
5804,upstream,5758
5804,upstream,5759
5805,downstream,5816
5805,upstream,1197
5806,downstream,5816
5807,downstream,5808
5807,downstream,5815
5807,upstream,5795
5807,upstream,5796
5809,downstream,5810
5809,upstream,5797
5812,upstream,5779
5813,upstream,5804
5813,downstream,5817
5813,upstream,5798
5814,downstream,5817
5814,upstream,5779
5819,downstream,5836
5819,downstream,11119
5819,upstream,5774
5819,upstream,5760
5832,downstream,37936
5832,downstream,1636
5832,downstream,5949
5832,upstream,5746
7486,downstream,7499
7486,upstream,7475
7488,downstream,7535
7488,downstream,7502
7488,upstream,7483
7488,upstream,7484
7489,downstream,7493
7489,downstream,7514
7491,downstream,7523
7491,downstream,11812
7492,downstream,7521
7492,downstream,7503
7494,downstream,7520
7501,downstream,7513
7501,downstream,7505
7501,upstream,7480
7501,upstream,7479
7506,downstream,7602
7506,downstream,7526
7524,downstream,7540
7524,downstream,7529
7590,downstream,7595
7590,downstream,7622
7590,upstream,7478
7590,upstream,14724
8497,downstream,8496
8497,upstream,8484
8567,downstream,38373
8567,downstream,10285
8567,downstream,38253
8567,upstream,3794
8567,upstream,10519
10142,downstream,5823
10142,downstream,5844
10142,upstream,10827
10500,downstream,12147
10500,downstream,10496
10500,upstream,12154
10501,downstream,12403
10501,upstream,12161
10501,upstream,13083
10501,upstream,12167
10848,downstream,38422
10848,downstream,10825
10848,upstream,10141
11421,downstream,11420
11421,upstream,5791
11422,downstream,11420
11427,upstream,11468
11431,downstream,11466
11431,downstream,11432
11431,upstream,11468
11674,downstream,38282
11674,downstream,1689
11674,downstream,37943
11674,upstream,11673
11803,downstream,11802
12145,downstream,12246
12145,upstream,12156
12145,upstream,12158
12153,downstream,12149
12153,downstream,12146
12153,upstream,12154
12174,downstream,12175
12174,downstream,12173
12174,upstream,10434
12174,upstream,8486
12176,downstream,12178
12176,upstream,10023
12176,upstream,15602
12177,downstream,12180
12177,upstream,10023
12177,upstream,15602
12522,upstream,12529
12522,upstream,12521
12524,downstream,12523
12526,upstream,13006
12526,upstream,12518
12528,upstream,12520
12530,downstream,12523
12530,upstream,12519
12530,upstream,12891
13087,downstream,13085
13087,upstream,13088
13491,downstream,13487
13539,downstream,13538
13539,downstream,13540
13539,upstream,5739
13539,upstream,5740
13837,downstream,38295
13837,downstream,13836
13837,upstream,5751
13837,upstream,5749
13865,downstream,2147
13865,downstream,1694
13865,upstream,13866
13867,downstream,13488
13867,downstream,13492
13886,downstream,13883
13886,downstream,13885
13886,upstream,2063
13886,upstream,11550
14591,downstream,14593
14591,upstream,14589
14591,upstream,2621
14603,downstream,11662
14603,upstream,14633
14604,downstream,11662
14604,upstream,2835
14604,upstream,14638
14604,upstream,14631
15057,downstream,11487
15057,upstream,2846
15601,upstream,15636
15632,upstream,15637
15674,downstream,17367
15674,upstream,15675
15978,downstream,17648
15978,upstream,15979
17365,upstream,17362
17365,downstream,17369
17652,upstream,17653
17652,downstream,17655
18015,downstream,18095
18015,downstream,18094
18030,upstream,18092
18061,downstream,18079
18081,downstream,33786
18081,upstream,18044
18092,downstream,18030
18092,downstream,18023
18092,upstream,18017
18096,downstream,18017
18173,upstream,27883
18173,downstream,18184
18239,upstream,18241
18240,upstream,18241
18242,downstream,18244
18250,downstream,18245
18250,upstream,18249
18250,upstream,18251
18279,downstream,18278
18279,upstream,18277
18280,upstream,18281
18280,downstream,17943
33757,downstream,18165
33757,upstream,33812
33786,upstream,18081
33786,downstream,18166
33786,upstream,33722
37901,upstream,2653
37903,upstream,5780
37904,upstream,13863
37922,upstream,2145
37924,upstream,11634
37934,upstream,5864
38099,upstream,1809
38156,upstream,1336
38282,upstream,1690
38282,upstream,11674
38337,upstream,2183
38340,upstream,1199
38340,upstream,14421
38369,upstream,7602
38373,upstream,8567
38374,upstream,8470
38374,upstream,8471
38422,upstream,10848
38422,upstream,4807
38423,upstream,1895
38423,upstream,4835
38447,upstream,8548
38447,upstream,1805
38472,upstream,1676
38488,upstream,1192
38489,upstream,5863
38489,upstream,11114
38570,upstream,18308
38610,upstream,18249
38610,upstream,18251
17364,upstream,17363
17650,upstream,17649
17650,upstream,18227
18141,upstream,18329
18166,upstream,33786
18166,downstream,18079
18166,upstream,18260
18165,upstream,33757
18165,downstream,18164
18165,upstream,18079
18216,downstream,18164
18164,upstream,18165
18164,upstream,18216
18079,upstream,18061
18079,upstream,18166
18079,downstream,18165
17948,downstream,18125
17948,upstream,17949
18055,upstream,18050
18055,upstream,18051
18125,upstream,17948
18125,downstream,17950
18125,downstream,18048
18125,upstream,18147
18330,upstream,18203
18330,downstream,18329
18049,downstream,18152
18058,downstream,18060
18058,upstream,18056
18058,upstream,18057
18059,downstream,18060
18153,upstream,18152
18060,upstream,18058
18060,upstream,18059
17950,upstream,18125
17950,downstream,18152
18048,upstream,18125
18048,downstream,18054
18050,downstream,18055
18050,downstream,18052
18050,upstream,18203
18051,downstream,18055
18051,upstream,18080
18051,downstream,18052
18053,upstream,18080
18053,downstream,18057
18054,upstream,18048
18054,downstream,18057
18080,downstream,18051
18080,downstream,18053
18151,upstream,18152
18152,upstream,18049
18152,downstream,18153
18152,upstream,17950
18152,downstream,18151
