id,end,link_id
1003,A,38585
11058,B,38585
11058,B,10068
3865,A,38586
3865,B,1829
3865,B,10184
3865,A,10462
1037,B,38586
11161,A,38587
11161,A,10186
1036,B,38587
2160,A,111
2160,B,112
2158,B,111
2158,B,284
2158,A,110
2342,A,284
2342,B,283
2342,B,285
2674,A,635
2674,B,636
2674,B,782
2672,B,635
2672,A,634
3059,A,1101
3059,A,4797
3059,B,1102
3058,B,1101
3058,B,4784
3058,A,1100
3174,A,1198
3174,A,13878
3174,B,37945
3174,B,1200
3174,B,5829
3175,B,1198
3175,B,13886
3175,A,2063
3175,A,11550
3649,A,1583
3649,A,4444
3649,B,1892
3649,B,4447
3650,B,1583
3650,A,10775
3650,A,1585
3734,A,1690
3734,A,11674
3734,B,38282
3734,B,1689
3734,B,37943
3172,B,1690
3172,B,5805
3172,A,1197
3785,A,1743
3785,B,2397
3785,B,8494
3786,B,1743
3786,A,1830
3786,B,13007
3414,A,1832
3414,B,38154
3414,B,1393
3414,B,7531
3867,B,1832
3867,A,1833
3867,B,38066
3867,B,12857
4016,A,2056
4016,B,2184
3170,B,2056
3170,A,5787
3170,A,1196
4180,A,2308
4180,B,2307
2523,B,2308
2523,A,487
2523,A,990
4491,A,2622
4491,A,14593
4491,B,14596
4492,B,2622
4492,A,14592
4492,B,14594
4493,A,2623
4493,A,2834
4493,A,14601
4494,B,2623
4494,B,15134
4494,A,14598
4495,A,2624
4495,B,14601
4495,A,14602
4496,B,2624
4496,B,14599
4496,A,14600
4673,A,2832
4673,A,14591
4673,B,14593
4674,B,2832
4674,B,14592
4674,A,14590
4675,A,2833
4675,B,14597
4675,B,14602
4676,B,2833
4676,A,14594
4676,B,14600
4677,B,2834
4677,A,14599
4677,B,14598
4711,A,2867
4711,A,2868
4711,B,2866
4712,B,2867
4712,B,4453
4712,A,4438
4713,B,2868
4713,A,2869
4713,A,2871
6256,A,4443
6256,B,4448
6256,B,4455
6253,B,4443
6253,A,4439
6253,A,4440
6255,B,4444
6255,B,4450
6255,A,4442
6257,A,4446
6257,B,4498
6257,A,4445
6257,A,4447
6248,B,4446
6248,A,4433
6248,B,4441
6260,A,4449
6260,B,4454
6260,B,4460
6261,B,4449
6262,A,4450
6262,B,4451
6262,B,4463
6264,A,4453
6264,B,4456
6264,A,4452
6265,A,4454
6265,B,4461
6265,B,4466
6289,A,4491
6289,A,4488
6289,B,4497
6292,B,4491
6292,B,10741
6292,A,10740
6314,A,4531
6314,A,4526
6314,B,4530
6317,B,4531
6317,A,10765
6528,A,4784
6529,A,4785
6529,A,4786
6529,B,4789
6530,B,4785
6531,B,4786
6532,A,4787
6532,A,4788
6532,B,4791
6523,B,4787
6523,A,4777
6523,B,4780
6533,B,4788
6538,A,4793
6538,B,4801
6538,B,4806
6525,B,4793
6525,B,4783
6525,A,4778
6540,A,4795
6540,B,8502
6540,A,4796
6526,B,4795
6526,A,4780
6526,A,4779
6527,B,4797
6527,A,4783
6527,A,4782
6527,A,4781
6550,A,4810
6550,B,4826
6550,A,10825
6499,B,4810
6499,A,4750
6499,B,4753
7414,A,5782
7414,A,5783
7414,B,11118
7415,B,5782
7405,B,5783
7405,B,5801
