,RespondentID,Route ,Route - In/Out Bound,Left From,Left Other,Left St No,Left St Name,Left Nearest Intersection,Left Name,Final Destination,Destination-Other,Dest St No,Dest St Name,Dest Nearest Intersection ,Dest Name,Zipcode,confidence_left,lat_left,lng_left,confidence_dest,lat_dest,lng_dest,Route,Geocode_result_left,Geocode_result_dest,Left_Add_EDIT,lat_left_EDIT,lng_left_EDIT,Dest_Add_EDIT,lat_dest_EDIT,lng_dest_EDIT
0,4199326829,10- East Chattanooga,In Bound,Home,,3308,Campbell Street,Campbell & Glass,,Work,,308,Clio Avenue,38th St & Rossville Blvd,,37406,9,35.072721,-85.240472,9,35.0001552,-85.2919233,10- East Chattanooga,pass,pass,,,,,,
1,4206052159,10- East Chattanooga,In Bound,Home,,314,Riverside Drive,Riverside & Wilder,,Work,,,,,,37406,9,35.0760064,-85.2578878,,,,10- East Chattanooga,pass,insufficient_data,,,,,,
2,4206066684,10- East Chattanooga,In Bound,Home,,3211,Campbell Street,Stuart & Chamberlain,,University / College,,816,McCallie Avenue,3rd & Hampton,Erlanger,37406,9,35.0722836,-85.241944,9,35.0485516,-85.2895013,10- East Chattanooga,pass,pass,,,,,,
3,4209630869,21- Golden Gateway,Out Bound,Home,,,D. Drive,,,Work,,,B Street,,,37406,9,35.0407709,-85.2599537,9,35.0486973,-85.2902862,21- Golden Gateway,pass,pass,,,,,,
4,4209714464,8- Eastdale,Out Bound,Home,,,Tunnel Blvd,Tunnel Blvd & Shallowford,,Personal errands,,6227,Lee Hwy,,,37410,9,35.0380214,-85.2401626,9,35.0323689,-85.1846275,8- Eastdale,pass,pass,,,,,,
5,4210021492,1- Alton Park,In Bound,Home,,,West Main,Main & Cypress,"Howard, 25th St",Work,,25th,Howard,,,37402,9,35.0261,-85.309825,9,35.0265206,-85.3090937,1- Alton Park,pass,pass,,,,,,
6,4210049627,1- Alton Park,Out Bound,Home,,2459,5th Avenue,4th ave & Foust,,Work,,3188,Broad,W. 37th,,37407,9,35.0152797,-85.2802724,9,35.0265206,-85.3090937,1- Alton Park,pass,pass,,,,,,
7,4210067701,1- Alton Park,In Bound,Home,,4429,Fagan,,Wal-Mart & Bank,,,,,,,,9,35.0155113,-85.3764317,,,,1- Alton Park,pass,insufficient_data,,,,,,
8,4210354314,1- Alton Park,In Bound,Home,,1230,Grove Street Ct,Market St & 10th St,College Hills Courts,Work,,2301,East Third Street,,Kentucky Fried Chicken,37402,9,35.0429049,-85.3185582,9,35.0392079,-85.266752,1- Alton Park,pass,pass,,,,,,
9,4215237302,9- East Lake,In Bound,Home,,,,,East Lake Court,Personal errands,Career Center,,,,East Gate Shopping Center,,9,35.0127833,-85.2821192,9,35.0084556,-85.2151665,9- East Lake,pass,pass,,,,,,
10,4215249165,10- East Chattanooga,Out Bound,Work,,1000,Hixson Pike,Falmouth & Hixson Pike,Across from Tremont Tavern,Home,,1949,Northpoint Blvd,,Home Depot,37343,9,35.069547,-85.289513,9,35.1373608,-85.2435405,10- East Chattanooga,pass,pass,,,,,,
11,4215260812,4- Hamilton Place,In Bound,Personal errands,,800,McCallie,,Salvation Army,Social / restaurant,,,,,Aims Center,37405,9,35.0432631,-85.2954858,9,35.047488,-85.3179647,4- Hamilton Place,pass,pass,,,,,,
12,4215330903,4- Hamilton Place,In Bound,Home,,5536,Old Mission Rd,Old Mission & Brainerd Rd,Eastgate Town Center,Personal errands,,701,Market St,7th & Market St,1st Tenn Bank,37414,9,35.0084556,-85.2151665,9,35.048276,-85.3103009,4- Hamilton Place,pass,pass,,,,,,
13,4215355676,4- Hamilton Place,In Bound,Home,,2020,Gunbarrel Road,Shallowford & Gunbarrel,Walmart,Personal errands,,412,W. MLK Blvd,MLK & Boynton Dr,,37421,9,35.0301589,-85.1527709,9,35.0475438,-85.3168957,4- Hamilton Place,pass,pass,,,,,,
14,4215372861,4- Hamilton Place,Out Bound,Store,,,,,,Work,,,,,,,,,,,,,4- Hamilton Place,insufficient_data,insufficient_data,,,,,,
15,4215570303,4- Hamilton Place,Out Bound,Personal errands,,727,East 11th Street,11th & Peeples,Community Kitchen,Work,,,,,East Gate Library,37401,9,35.0405999,-85.2999564,9,35.0085682,-85.2113813,4- Hamilton Place,pass,pass,,,,,,
16,4215577569,4- Hamilton Place,Out Bound,Home,,,,,,Work,,,,,,37406,,,,,,,4- Hamilton Place,insufficient_data,insufficient_data,,,,,,
17,4215582385,4- Hamilton Place,Out Bound,Personal errands,,,,,Brown Academy Elementary,Store,,,,,Walmart,33401,9,35.0437196,-85.2992616,9,35.0301589,-85.1527709,4- Hamilton Place,pass,pass,,,,,,
18,4215588760,4- Hamilton Place,Out Bound,Home,,,,,,Store,,,,,,37403,,,,,,,4- Hamilton Place,insufficient_data,insufficient_data,,,,,,
19,4215595712,4- Hamilton Place,In Bound,Work,,,,,,Work,,2102,Kirby Avenue,S. Willard & Kirby Ave,,37404,,,,9,35.0303982,-85.2738976,4- Hamilton Place,insufficient_data,pass,,,,,,
20,4224050680,3- Enterprise South,Out Bound,Work,,,,,Amazon,Home,,2706,6th Avenue,,,37404,9,35.0690411,-85.1411325,9,35.0117219,-85.2806971,3- Enterprise South,pass,pass,,,,,,
21,4224069501,9- East Lake,In Bound,Home,,2103,Daisy,Dodds & Daisy,,Home,,8,Market Street,,,,9,35.0668905,-85.2543584,9,35.0602047,-85.3089821,9- East Lake,pass,pass,,,,,,
22,4224077756,9- East Lake,Out Bound,Home,,,E. Main,,Wheeler Homes,Home,,,35th Street,,Alton Park Villages,37403,9,34.9911728,-85.3035734,9,35.0066898,-85.3109914,9- East Lake,pass,pass,,,,,,
23,4224090296,6- East Brainerd,Out Bound,Home,,7356,Lee Hwy #37,Lee & Courage Way,Cedar Creek MHP,Home,,7356,Lee Hwy,Lee & Courage Way,Cedar Group MHP,37421,9,35.0543727,-85.1443713,9,35.0542853,-85.1452821,6- East Brainerd,pass,pass,,,,,,
24,4224107560,6- East Brainerd,Out Bound,Work,,,Gunbarrel,,Wilkins Research,Home,,255,Germantown Rd,Brainerd & Germantown,,37411,9,35.0223464,-85.1579513,9,35.0284073,-85.2441114,6- East Brainerd,pass,pass,,,,,,
25,4224162421,6- East Brainerd,Out Bound,Work,,,E. Brainerd,,,Home,,202,Timber Knoll,,,37421,5,35.0153686,-85.1119641,9,35.0162107,-85.1873595,6- East Brainerd,no_pass,pass,,,,,,
26,4224225821,6- East Brainerd,Out Bound,Store,,,,,,Work,,,Hamilton Place Blvd,,Acropolis,30736,,,,9,35.039782,-85.156113,6- East Brainerd,insufficient_data,pass,,,,,,
