ROUTE_ID,ROUTE_NAME,Route,Long Name,Sign,Name
258,Alton Park IB M-F,1,ALTON PARK,DOWNTOWN,Alton Park
257,Alton Park OB M-F,1,ALTON PARK,ALTON PARK,Alton Park
233,Amnicola IB2,28,AMNICOLA HWY CHATT STATE,DOWNTOWN,Amnicola Highway
231,Amnicola OB M-F,28,AMNICOLA HWY CHATT STATE,CHATTANOOGA STATE,Amnicola Highway
239,Avondale HLT IB M-F,10A,AVON,DOWNTOWN VIA DODSON AVE HEALTH CTR,East Chattanooga - Avondale
262,Avondale IB M-F,10A,AVON,DOWNTOWN,East Chattanooga - Avondale
263,Avondale OB M-F,10A,AVON,AVONDALE,East Chattanooga - Avondale
273,Avondale Sholar IB M-F,10A,AVON,DOWNTOWN,East Chattanooga - Avondale
265,Campbell IB M-F,10C,CAMPBELL,CAMPBELL,East Chattanooga - Campbell
264,Campbell OB M-F,10C,CAMPBELL,CAMPBELL,East Chattanooga - Campbell
275,Carta Maint IB 4th,0,Carta Maint,,Carta Maint
274,Carta Maint IB Houston,0,Carta Maint,,Carta Maint
254,Carta Maint IB Market,0,Carta Maint,,Carta Maint
259,Carta Maint OB Lindsay,0,Carta Maint,,Carta Maint
253,Carta Maint OB Market,0,Carta Maint,,Carta Maint
292,Chatt Housing Authority IB M-F,7,CHATTANOOGA HOUSING AUTHORITY,DOWNTOWN,Chattanooga Housing Authority
67,CHATT HOUSING AUTHORITY OB M-F,7,CHATTANOOGA HOUSING AUTHORITY,CHATTANOOGA HOUSING AUTHORITY,Chattanooga Housing Authority
212,CROMWELL ROAD IB M-F,19,CROMWELL ROAD,DOWNTOWN,Cromwell Road
186,CROMWELL ROAD OB M-F,19,CROMWELL ROAD,CROMWELL,Cromwell Road
284,Downtown Shuttle IB M-F,33,DOWNTOWN SHUTTLE,SHUTTLE PARK NORTH,Downtown Shuttle
127,DWNTN SHUTTLE IB M-F,33,DOWNTOWN SHUTTLE,SHUTTLE PARK NORTH,Downtown Shuttle
128,DWNTN SHUTTLE OB M-F,33,DOWNTOWN SHUTTLE,SHUTTLE PARK SOUTH,Downtown Shuttle
181,EAST LAKE IBA,9,EAST LAKE,DOWNTOWN,East Lake
199,EAST LAKE OBA,9,EAST LAKE,EAST LAKE,East Lake
294,Eastdale Germ/Brainerd,8,EASTDALE,GERMANTOWN + BRAINERD RD,Eastdale
295,Eastdale Germtwn/Brainerd 2,8,EASTDALE,GERMANTOWN + BRAINERD RD,Eastdale
293,Eastdale IB M-F,8,EASTDALE,EASTDALE,Eastdale
134,EASTDALE OB M-F,8,EASTDALE,EASTDALE,Eastdale
235,Eastgate / Chamberlain OB M-F,4,EASTGATE/HAMILTON PL,EASTGATE HAMILTON PL,Eastgate / Hamilton Place
198,EASTGATE/HAMILTON PL OB M-F,4,EASTGATE/HAMILTON PL,EASTGATE HAMILTON PL,Eastgate / Hamilton Place
288,Eastgate/Hamiton Pl Hlth Cnt OB,4,EASTGATE/HAMILTON PL,EASTGATE HAMILTON PL VIA HEALTH CTR,Eastgate / Hamilton Place
296,Enterprise South IB M-F,3,ENTERPRISE SOUTH,3 DOWNTOWN,Enterprise South
151,Enterprise South OB M-F,3,ENTERPRISE SOUTH,ENTERPRISE SOUTH,Enterprise South
272,Glennwood via Stuart IB M-F,10G,GLENWOOD,DOWNTOWN VIA HWY 58 STUART,East Chattanooga - Glenwood
270,Glenwood IB M-F,10G,GLENWOOD,DOWNTOWN,East Chattanooga - Glenwood
271,Glenwood IB M-F 2,10G,GLENWOOD,DOWNTOWN,East Chattanooga - Glenwood
268,Glenwood OB M-F,10G,GLENWOOD,GLENWOOD,East Chattanooga - Glenwood
76,GOLDEN GATEWAY IB M-F,21,GOLDEN GATEWAY,DOWNTOWN,Golden Gateway
9,GOLDEN GATEWAY OB M-F,21,GOLDEN GATEWAY,GOLDEN GATEWAY,Golden Gateway
283,Golden Gateway turn back IB M-F,21,GOLDEN GATEWAY,DOWNTOWN,Golden Gateway
289,Hamilton Place Express IB M-F,4,EASTGATE/HAMILTON PL,DOWNTOWN EXPRESS,Eastgate / Hamilton Place
290,Hamilton Place Express IB M-F 2,4,EASTGATE/HAMILTON PL,DOWNTOWN EXPRESS,Eastgate / Hamilton Place
213,HAMILTON PLACE EXPRESS OB M-F,4,EASTGATE/HAMILTON PL,HAMILTON PL EXPRESS,Eastgate / Hamilton Place
291,Hamilton Place IB M-F,4,EASTGATE/HAMILTON PL,DOWNTOWN,Eastgate / Hamilton Place
277,Mocs Express IB M-F,14,MOCS EXPRESS,MCCALLIE + HOUSTON,Mocs Express
276,Mocs Express Maint IB M-F,14,MOCS EXPRESS,MCCALLIE + HOUSTON,Mocs Express
279,Mocs Express Maint OB M-F,14,MOCS EXPRESS,MACLELLAN GYM UNIVERSITY CTR,Mocs Express
278,Mocs Express OB M-F,14,MOCS EXPRESS,MACLELLAN GYM UNIVERSITY CTR,Mocs Express
287,N Shore Shuttle IB Garage M-F,34,NORTH SHORE SHUTTLE,SHUTTLE PARK NORTH,North Shore Shuttle
286,N Shore Shuttle IB M-F,34,NORTH SHORE SHUTTLE,SHUTTLE PARK NORTH,North Shore Shuttle
285,N Shore Shuttle OB Garage M-F,34,NORTH SHORE SHUTTLE,TREMONT + FRAZIER,North Shore Shuttle
247,N SHORE SHUTTLE OB M-F,34,NORTH SHORE SHUTTLE,TREMONT + FRAZIER,North Shore Shuttle
282,North Chattanooga IB M-F,2,NORTH CHATT,DOWNTOWN,North Chattanooga
281,North Chattanooga OB M-F,2,NORTH CHATT,NORTH CHATTANOOGA,North Chattanooga
248,NORTHGATE IB M-F,16,NORTHGATE OB,DOWNTOWN,Northgate
243,NORTHGATE OB M-F,16,NORTHGATE OB,NORTHGATE,Northgate
280,Northgate via 27 OB M-F,16,NORTHGATE OB,NORTHGATE,Northgate
31,ROSSVILLE IB M-F,13,ROSSVILLE,DOWNTOWN,Rossville
32,ROSSVILLE OB M-F,13,ROSSVILLE,ROSSVILLE,Rossville
44,ST. ELMO IB,15,ST. ELMO,DOWNTOWN,Saint Elmo
6,ST. ELMO OB,15,ST. ELMO,ST ELMO VIA INCLINE,Saint Elmo
