TAZID,TAZ_Out,TAZ_Ext
1003,E,9001
252,,252
251,,251
253,,253
150,,150
402,,402
346,,346
629,,629
634,,634
364,,364
356,,356
350,,350
367,,367
348,,348
630,,630
370,,370
355,,355
347,,347
353,,353
631,,631
632,,632
376,,376
536,,536
363,,363
362,,362
686,,686
443,,443
369,,369
685,,685
447,,447
584,,584
493,,493
580,,580
495,,495
609,,609
444,,444
610,,610
612,,612
359,,359
358,,358
357,,357
365,,365
149,,149
696,,696
197,,197
196,,196
208,,208
207,,207
697,,697
211,,211
143,,143
144,,144
713,,713
156,,156
154,,154
388,,388
381,,381
389,,389
250,,250
379,,379
380,,380
715,,715
404,,404
153,,153
400,,400
401,,401
513,,513
533,,533
535,,535
871,,871
569,,569
596,,596
597,,597
615,,615
816,,816
598,,598
445,,445
377,,377
611,,611
366,,366
360,,360
351,,351
399,,399
398,,398
387,,387
382,,382
307,,307
240,,240
248,,248
249,,249
494,,494
496,,496
532,,532
874,,874
875,,875
872,,872
570,,570
594,,594
368,,368
372,,372
817,,817
373,,373
439,,439
750,,750
374,,374
442,,442
375,,375
600,,600
565,,565
254,,254
391,,391
510,,510
386,,386
509,,509
524,,524
527,,527
310,,310
512,,512
522,,522
523,,523
577,,577
528,,528
309,,309
520,,520
521,,521
517,,517
519,,519
308,,308
511,,511
514,,514
515,,515
516,,516
518,,518
241,,241
245,,245
244,,244
303,,303
397,,397
508,,508
680,,680
531,,531
499,,499
877,,877
529,,529
878,,878
525,,525
526,,526
507,,507
681,,681
684,,684
679,,679
682,,682
500,,500
396,,396
564,,564
818,,818
824,,824
602,,602
850,,850
390,,390
393,,393
392,,392
395,,395
394,,394
340,,340
385,,385
384,,384
313,,313
242,,242
311,,311
502,,502
506,,506
503,,503
505,,505
1004,SW,9005
1005,SW,9005
1006,W,9004
1007,E,9001
1008,W,9004
1009,SW,9005
96,,96
123,,123
124,,124
105,,105
107,,107
109,,109
111,,111
114,,114
95,,95
55,,55
141,,141
213,,213
93,,93
92,,92
97,,97
54,,54
53,,53
59,,59
91,,91
805,,805
98,,98
100,,100
122,,122
104,,104
125,,125
106,,106
90,,90
58,,58
140,,140
94,,94
139,,139
89,,89
51,,51
57,,57
44,,44
45,,45
46,,46
43,,43
205,,205
204,,204
210,,210
209,,209
902,,902
901,,901
52,,52
87,,87
807,,807
801,,801
804,,804
806,,806
108,,108
102,,102
118,,118
103,,103
99,,99
88,,88
56,,56
42,,42
49,,49
50,,50
446,,446
892,,892
891,,891
341,,341
880,,880
882,,882
470,,470
61,,61
84,,84
85,,85
80,,80
81,,81
86,,86
719,,719
77,,77
75,,75
60,,60
62,,62
904,,904
893,,893
897,,897
344,,344
434,,434
755,,755
282,,282
886,,886
883,,883
312,,312
881,,881
40,,40
41,,41
63,,63
66,,66
76,,76
74,,74
71,,71
699,,699
72,,72
68,,68
69,,69
468,,468
903,,903
894,,894
896,,896
895,,895
334,,334
284,,284
757,,757
292,,292
469,,469
808,,808
35,,35
39,,39
36,,36
65,,65
797,,797
799,,799
798,,798
67,,67
73,,73
845,,845
555,,555
554,,554
132,,132
126,,126
467,,467
474,,474
857,,857
432,,432
335,,335
336,,336
735,,735
734,,734
325,,325
326,,326
288,,288
472,,472
34,,34
29,,29
32,,32
37,,37
31,,31
30,,30
692,,692
691,,691
844,,844
556,,556
604,,604
605,,605
476,,476
717,,717
462,,462
858,,858
466,,466
451,,451
449,,449
431,,431
430,,430
477,,477
694,,694
25,,25
27,,27
33,,33
854,,854
841,,841
840,,840
843,,843
863,,863
864,,864
842,,842
764,,764
709,,709
862,,862
861,,861
765,,765
763,,763
487,,487
711,,711
712,,712
548,,548
558,,558
796,,796
24,,24
782,,782
781,,781
795,,795
21,,21
855,,855
482,,482
718,,718
481,,481
460,,460
455,,455
461,,461
463,,463
856,,856
853,,853
866,,866
865,,865
489,,489
475,,475
812,,812
488,,488
543,,543
544,,544
814,,814
540,,540
545,,545
860,,860
557,,557
815,,815
748,,748
739,,739
859,,859
559,,559
603,,603
133,,133
705,,705
706,,706
26,,26
786,,786
15,,15
17,,17
1010,S,9006
1011,S,9006
1012,S,9006
1013,S,9006
1014,S,9006
1015,S,9006
212,,212
403,,403
199,,199
186,,186
198,,198
146,,146
147,,147
714,,714
155,,155
194,,194
193,,193
192,,192
306,,306
185,,185
188,,188
202,,202
203,,203
48,,48
47,,47
766,,766
184,,184
775,,775
889,,889
191,,191
189,,189
834,,834
148,,148
195,,195
405,,405
304,,304
305,,305
835,,835
838,,838
169,,169
890,,890
776,,776
164,,164
767,,767
187,,187
839,,839
908,,908
837,,837
833,,833
170,,170
165,,165
159,,159
163,,163
160,,160
162,,162
173,,173
907,,907
180,,180
181,,181
178,,178
200,,200
201,,201
182,,182
179,,179
177,,177
157,,157
4,,4
10,,10
161,,161
9,,9
11,,11
175,,175
8,,8
142,,142
174,,174
22,,22
38,,38
176,,176
410,,410
906,,906
166,,166
905,,905
158,,158
3,,3
1,,1
868,,868
867,,867
778,,778
777,,777
779,,779
418,,418
412,,412
831,,831
417,,417
773,,773
830,,830
409,,409
272,,272
271,,271
270,,270
424,,424
7,,7
6,,6
5,,5
870,,870
780,,780
422,,422
421,,421
419,,419
452,,452
465,,465
707,,707
18,,18
847,,847
846,,846
428,,428
464,,464
459,,459
332,,332
453,,453
456,,456
708,,708
1016,SW,9005
1017,W,9004
716,,716
167,,167
869,,869
231,,231
219,,219
849,,849
255,,255
243,,243
234,,234
235,,235
238,,238
232,,232
230,,230
246,,246
221,,221
247,,247
885,,885
754,,754
752,,752
278,,278
233,,233
236,,236
239,,239
224,,224
884,,884
286,,286
723,,723
291,,291
285,,285
724,,724
317,,317
294,,294
298,,298
295,,295
299,,299
266,,266
300,,300
293,,293
297,,297
273,,273
267,,267
279,,279
290,,290
721,,721
324,,324
726,,726
322,,322
315,,315
314,,314
318,,318
316,,316
319,,319
302,,302
415,,415
413,,413
828,,828
416,,416
277,,277
731,,731
420,,420
328,,328
331,,331
327,,327
321,,321
423,,423
425,,425
330,,330
426,,426
337,,337
220,,220
215,,215
214,,214
216,,216
263,,263
264,,264
268,,268
237,,237
229,,229
228,,228
223,,223
222,,222
262,,262
296,,296
256,,256
218,,218
257,,257
269,,269
260,,260
259,,259
258,,258
265,,265
261,,261
225,,225
276,,276
226,,226
227,,227
274,,274
275,,275
909,,909
320,,320
414,,414
289,,289
383,,383
429,,429
427,,427
457,,457
454,,454
898,,898
138,,138
1018,SE,9007
1019,S,9006
638,,638
1020,SE,9007
1021,SE,9007
117,,117
121,,121
131,,131
851,,851
135,,135
113,,113
608,,608
120,,120
607,,607
130,,130
137,,137
852,,852
703,,703
112,,112
110,,110
825,,825
134,,134
115,,115
116,,116
119,,119
822,,822
740,,740
438,,438
744,,744
751,,751
440,,440
888,,888
887,,887
749,,749
743,,743
747,,747
492,,492
813,,813
491,,491
486,,486
1022,SE,9007
101,,101
1023,SE,9007
1024,E,9001
127,,127
606,,606
1025,E,9001
1026,E,9001
1027,E,9001
1028,E,9001
579,,579
578,,578
581,,581
628,,628
687,,687
635,,635
583,,583
624,,624
620,,620
619,,619
575,,575
582,,582
595,,595
589,,589
591,,591
571,,571
574,,574
572,,572
576,,576
585,,585
618,,618
617,,617
586,,586
873,,873
876,,876
568,,568
573,,573
1029,NW,9003
1002,N,9002
1030,NW,9003
504,,504
501,,501
1031,NW,9003
1032,NW,9003
1033,NW,9003
354,,354
625,,625
626,,626
614,,614
349,,349
371,,371
361,,361
616,,616
590,,590
587,,587
588,,588
593,,593
592,,592
627,,627
623,,623
621,,621
622,,622
637,,637
613,,613
1034,E,9001
352,,352
1035,N,9002
1036,E,9001
1037,E,9001
1001,W,9004
