run,model,end,group,alternative,target,calibrate,within_threshold,survey_pct,model_pct,diff,current_beta,adjustment,new_beta
1,WorkLocation,6,,0-3.5 mi,WorkLocation,TRUE,FALSE,26.64,17.67,-8.98,-5.398971404,0.3491,-5.0499
1,WorkLocation,7,,3.5-10 mi,WorkLocation,TRUE,FALSE,40.54,36.5,-4.04,-0.730662395,0.0891,-0.6416
1,WorkLocation,8,,10+ mi,WorkLocation,TRUE,FALSE,32.82,45.83,13.01,-0.569337481,-0.2838,-0.8531
1,WorkLocation,,,0,WorkLocationWFH,FALSE,FALSE,86.79,96,9.21,,0,
1,WorkLocation,41,,1,WorkLocationWFH,TRUE,FALSE,13.21,4,-9.21,-6.218625468,1.0154,-5.2032
2,WorkLocation,6,,0-3.5 mi,WorkLocation,TRUE,FALSE,26.64,17.67,-8.98,-5.398971404,0.3491,-5.0499
2,WorkLocation,7,,3.5-10 mi,WorkLocation,TRUE,FALSE,40.54,36.5,-4.04,-0.730662395,0.0891,-0.6416
2,WorkLocation,8,,10+ mi,WorkLocation,TRUE,FALSE,32.82,45.83,13.01,-0.569337481,-0.2838,-0.8531
2,WorkLocation,,,0,WorkLocationWFH,FALSE,FALSE,86.79,96,9.21,,0,
2,WorkLocation,41,,1,WorkLocationWFH,TRUE,FALSE,13.21,4,-9.21,-6.218625468,1.0154,-5.2032
3,WorkLocation,6,,0-3.5 mi,WorkLocation,TRUE,FALSE,26.64,17.67,-8.98,-5.398971404,0.3491,-5.0499
3,WorkLocation,7,,3.5-10 mi,WorkLocation,TRUE,FALSE,40.54,36.5,-4.04,-0.730662395,0.0891,-0.6416
3,WorkLocation,8,,10+ mi,WorkLocation,TRUE,FALSE,32.82,45.83,13.01,-0.569337481,-0.2838,-0.8531
3,WorkLocation,,,0,WorkLocationWFH,FALSE,FALSE,86.79,96,9.21,,0,
3,WorkLocation,41,,1,WorkLocationWFH,TRUE,FALSE,13.21,4,-9.21,-6.218625468,1.0154,-5.2032
3,WorkLocation,,,FT,WorkLocationWFHbyType,FALSE,FALSE,74.16,69.4,-4.77,,0,
3,WorkLocation,42,,PT,WorkLocationWFHbyType,TRUE,TRUE,25.84,27.37,1.53,5.0782862,0,5.0783
3,WorkLocation,,,NotFTPT,WorkLocationWFHbyType,FALSE,FALSE,0,3.23,3.23,,0,
4,WorkLocation,6,,0-3.5 mi,WorkLocation,TRUE,FALSE,26.64,17.67,-8.98,-5.398971404,0.3491,-5.0499
4,WorkLocation,7,,3.5-10 mi,WorkLocation,TRUE,FALSE,40.54,36.5,-4.04,-0.730662395,0.0891,-0.6416
4,WorkLocation,8,,10+ mi,WorkLocation,TRUE,FALSE,32.82,45.83,13.01,-0.569337481,-0.2838,-0.8531
4,WorkLocation,,,0,WorkLocationWFH,FALSE,FALSE,86.79,96,9.21,,0,
4,WorkLocation,41,,1,WorkLocationWFH,TRUE,FALSE,13.21,4,-9.21,-6.218625468,1.0154,-5.2032
