f12_model,group_name,group,alt_name,alternative,end, variable_mean ,notes,unused end,bins backup
WorkLocation,,,distance to work,0-3.5 mi,6,0.18,,,
WorkLocation,,,distance to work,3.5-10 mi,7,0.33,,,
WorkLocation,,,distance to work,10+ mi,8,0.5,median distance in top bin in survey (pool) is 15,,
WorkLocation,,,exclusively work from home (wfh),1,41,,,,
WorkLocation,exclusively work from home dummy,wfh,worker type,PT,42,,,,
SchoolLocation,person type,Child<5,distance to school,0-1 mi,7,0.05,,,
SchoolLocation,person type,Child<5,distance to school,1-5 mi,8,0.3,,,1 to 5
SchoolLocation,person type,Child<5,distance to school,5+ mi,9,0.27,median distance in top bin in survey (pool) is 7.7,,
SchoolLocation,person type,Ch515,distance to school,0-1 mi,10,0.05,,,
SchoolLocation,person type,Ch515,distance to school,1-5 mi,11,0.3,,,1 to 5
SchoolLocation,person type,Ch515,distance to school,5+ mi,12,0.26,median distance in top bin in survey (pool) is 7.6,,
SchoolLocation,person type,Stu16,distance to school,1,13,0.32,median distance from survey is 3.8,,
SchoolLocation,person type,UniStu,distance to school,1,,,not enough data to calibrate,,
SchoolLocation,,,homeschooled (sfh),1,,,,,
PayToParkAtWorkplace,,,paid to park at work (ppaidprk),1,1,,"not calibrated last time, survey % who pay is based on trip data",,
TransitPassOwnership,,,,,,,not enough data to calibrate,,
AutoOwnership,number of drivers,1,number of vehicles,0,1,,,,
AutoOwnership,number of drivers,1,number of vehicles,1,,,reference alt,,
AutoOwnership,number of drivers,1,number of vehicles,2,3,,,,
AutoOwnership,number of drivers,1,number of vehicles,3,4,,,,
AutoOwnership,number of drivers,1,number of vehicles,4,5,,,,
AutoOwnership,number of drivers,2,number of vehicles,0,6,,,,
AutoOwnership,number of drivers,2,number of vehicles,1,7,,,,
AutoOwnership,number of drivers,2,number of vehicles,2,8,,,,
AutoOwnership,number of drivers,2,number of vehicles,3,9,,,,
AutoOwnership,number of drivers,2,number of vehicles,4,10,,,,
AutoOwnership,number of drivers,3,number of vehicles,0,11,,,,
AutoOwnership,number of drivers,3,number of vehicles,1,12,,,,
AutoOwnership,number of drivers,3,number of vehicles,2,13,,,,
AutoOwnership,number of drivers,3,number of vehicles,3,14,,,,
