model,label,type,method,method_arg,key_mode
WorkLocation,WorkLocation,1d,summary_wrkschloc_ft_nwfh_dist,,
WorkLocation,WorkLocationWFH,1d,summary_wrkschloc_wfh,,
WorkLocation,WorkLocationWFHbyType,2d,summary_wrkschloc_wfh_by_wrkrtyp,,
SchoolLocation,SchoolLocation,2d,summary_wrkschloc_sch_dist,,
PayToParkAtWorkplace,PaidParking,1d,summary_paid_parking,,
AutoOwnership,AutoOwnership,2d,summary_vehavail_drivers_vehs,,
IndividualPersonDayPattern,WorkParticipationRate,1d,summary_day_pattern_purpose_rate,work,purpose_participation
IndividualPersonDayPattern,SchoolParticipationRate,1d,summary_day_pattern_purpose_rate,school,purpose_participation
IndividualPersonDayPattern,EscortPartcipationRate,1d,summary_day_pattern_purpose_rate,escort,purpose_participation
IndividualPersonDayPattern,PBParticipationRate,1d,summary_day_pattern_purpose_rate,pb,purpose_participation
IndividualPersonDayPattern,ShopParticipationRate,1d,summary_day_pattern_purpose_rate,shop,purpose_participation
IndividualPersonDayPattern,MealParticipationRate,1d,summary_day_pattern_purpose_rate,meal,purpose_participation
IndividualPersonDayPattern,SocRecParticipationRate,1d,summary_day_pattern_purpose_rate,socrec,purpose_participation
IndividualPersonDayPattern,MaintParticipationRate,1d,summary_day_pattern_purpose_rate,main,purpose_participation
IndividualPersonDayPattern,DiscParticipationRate,1d,summary_day_pattern_purpose_rate,disc,purpose_participation
IndividualPersonDayPattern,work_Stop,1d,summary_ipdp_participation,work_Stop,purpose_participation
IndividualPersonDayPattern,school_Stop,1d,summary_ipdp_participation,school_Stop,purpose_participation
IndividualPersonDayPattern,escort_Stop,1d,summary_ipdp_participation,escort_Stop,purpose_participation
IndividualPersonDayPattern,pb_Stop,1d,summary_ipdp_participation,pb_Stop,purpose_participation
IndividualPersonDayPattern,shop_Stop,1d,summary_ipdp_participation,shop_Stop,purpose_participation
IndividualPersonDayPattern,meal_Stop,1d,summary_ipdp_participation,meal_Stop,purpose_participation
IndividualPersonDayPattern,socrec_Stop,1d,summary_ipdp_participation,socrec_Stop,purpose_participation
IndividualPersonDayPattern,meal_Stop,1d,summary_ipdp_participation,meal_Stop,purpose_participation
IndividualPersonDayPattern,maint_Stop,1d,summary_ipdp_participation,maint_Stop,purpose_participation
IndividualPersonDayPattern,disc_Ch515,1d,summary_ipdp_participation,disc_Ch515,purpose_participation
IndividualPersonDayPattern,meal_Ch515,1d,summary_ipdp_participation,meal_Ch515,purpose_participation
IndividualPersonDayPattern,pb_Ch515,1d,summary_ipdp_participation,pb_Ch515,purpose_participation
IndividualPersonDayPattern,school_Ch515,1d,summary_ipdp_participation,school_Ch515,purpose_participation
IndividualPersonDayPattern,shop_Ch515,1d,summary_ipdp_participation,shop_Ch515,purpose_participation
IndividualPersonDayPattern,socrec_Ch515,1d,summary_ipdp_participation,socrec_Ch515,purpose_participation
IndividualPersonDayPattern,maint_Ch515,1d,summary_ipdp_participation,maint_Ch515,purpose_participation
IndividualPersonDayPattern,disc_Ch515,1d,summary_ipdp_participation,disc_Ch515,purpose_participation
IndividualPersonDayPattern,escort_FT,1d,summary_ipdp_participation,escort_FT,purpose_participation
IndividualPersonDayPattern,meal_FT,1d,summary_ipdp_participation,meal_FT,purpose_participation
IndividualPersonDayPattern,pb_FT,1d,summary_ipdp_participation,pb_FT,purpose_participation
IndividualPersonDayPattern,school_FT,1d,summary_ipdp_participation,school_FT,purpose_participation
IndividualPersonDayPattern,shop_FT,1d,summary_ipdp_participation,shop_FT,purpose_participation
IndividualPersonDayPattern,socrec_FT,1d,summary_ipdp_participation,socrec_FT,purpose_participation
IndividualPersonDayPattern,work_FT,1d,summary_ipdp_participation,work_FT,purpose_participation
IndividualPersonDayPattern,maint_FT,1d,summary_ipdp_participation,maint_FT,purpose_participation
IndividualPersonDayPattern,disc_FT,1d,summary_ipdp_participation,disc_FT,purpose_participation
IndividualPersonDayPattern,escort_Nonworker,1d,summary_ipdp_participation,escort_Nonworker,purpose_participation
IndividualPersonDayPattern,meal_Nonworker,1d,summary_ipdp_participation,meal_Nonworker,purpose_participation
IndividualPersonDayPattern,pb_Nonworker,1d,summary_ipdp_participation,pb_Nonworker,purpose_participation
IndividualPersonDayPattern,shop_Nonworker,1d,summary_ipdp_participation,shop_Nonworker,purpose_participation
IndividualPersonDayPattern,socrec_Nonworker,1d,summary_ipdp_participation,socrec_Nonworker,purpose_participation
IndividualPersonDayPattern,maint_Nonworker,1d,summary_ipdp_participation,maint_Nonworker,purpose_participation
IndividualPersonDayPattern,disc_Nonworker,1d,summary_ipdp_participation,disc_Nonworker,purpose_participation
IndividualPersonDayPattern,escort_PT,1d,summary_ipdp_participation,escort_PT,purpose_participation
IndividualPersonDayPattern,meal_PT,1d,summary_ipdp_participation,meal_PT,purpose_participation
IndividualPersonDayPattern,pb_PT,1d,summary_ipdp_participation,pb_PT,purpose_participation
IndividualPersonDayPattern,shop_PT,1d,summary_ipdp_participation,shop_PT,purpose_participation
IndividualPersonDayPattern,socrec_PT,1d,summary_ipdp_participation,socrec_PT,purpose_participation
IndividualPersonDayPattern,work_PT,1d,summary_ipdp_participation,work_PT,purpose_participation
IndividualPersonDayPattern,maint_PT,1d,summary_ipdp_participation,maint_PT,purpose_participation
IndividualPersonDayPattern,disc_PT,1d,summary_ipdp_participation,disc_PT,purpose_participation
IndividualPersonDayPattern,escort_Retired,1d,summary_ipdp_participation,escort_Retired,purpose_participation
IndividualPersonDayPattern,meal_Retired,1d,summary_ipdp_participation,meal_Retired,purpose_participation
IndividualPersonDayPattern,pb_Retired,1d,summary_ipdp_participation,pb_Retired,purpose_participation
IndividualPersonDayPattern,shop_Retired,1d,summary_ipdp_participation,shop_Retired,purpose_participation
IndividualPersonDayPattern,socrec_Retired,1d,summary_ipdp_participation,socrec_Retired,purpose_participation
IndividualPersonDayPattern,maint_Retired,1d,summary_ipdp_participation,maint_Retired,purpose_participation
IndividualPersonDayPattern,disc_Retired,1d,summary_ipdp_participation,disc_Retired,purpose_participation
IndividualPersonDayPattern,escort_Stu16,1d,summary_ipdp_participation,escort_Stu16,purpose_participation
IndividualPersonDayPattern,meal_Stu16,1d,summary_ipdp_participation,meal_Stu16,purpose_participation
IndividualPersonDayPattern,pb_Stu16,1d,summary_ipdp_participation,pb_Stu16,purpose_participation
IndividualPersonDayPattern,school_Stu16,1d,summary_ipdp_participation,school_Stu16,purpose_participation
IndividualPersonDayPattern,shop_Stu16,1d,summary_ipdp_participation,shop_Stu16,purpose_participation
IndividualPersonDayPattern,socrec_Stu16,1d,summary_ipdp_participation,socrec_Stu16,purpose_participation
IndividualPersonDayPattern,work_Stu16,1d,summary_ipdp_participation,work_Stu16,purpose_participation
IndividualPersonDayPattern,maint_Stu16,1d,summary_ipdp_participation,maint_Stu16,purpose_participation
IndividualPersonDayPattern,disc_Stu16,1d,summary_ipdp_participation,disc_Stu16,purpose_participation
PersonExactNumberOfTours,DayPatternCount_work,1d,summary_day_pattern_tour_count,work,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_school,1d,summary_day_pattern_tour_count,school,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_escort,1d,summary_day_pattern_tour_count,escort,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_pb,1d,summary_day_pattern_tour_count,pb,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_shop,1d,summary_day_pattern_tour_count,shop,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_meal,1d,summary_day_pattern_tour_count,meal,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_socrec,1d,summary_day_pattern_tour_count,socrec,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_maint,1d,summary_day_pattern_tour_count,maint,count_by_purpose
PersonExactNumberOfTours,DayPatternCount_disc,1d,summary_day_pattern_tour_count,disc,count_by_purpose
WorkBasedSubtourGeneration,WorkBasedSubtourGeneration,2d,summary_day_pattern_subtour_purpose_rate,,
WorkTourMode,WorkTourMode,1d,summary_work_tour_mode,,
SchoolTourMode,SchoolTourMode,1d,summary_school_tour_mode,,
EscortTourMode,EscortTourMode,1d,summary_escort_tour_mode,,
OtherHomeBasedTourMode,OtherHomeBasedTourMode,1d,summary_other_home_based_tour_mode,,
